"PROFICIENCIA_MT_SAEB","TX_RESP_Q10a_num","TX_RESP_Q10d_num","TX_RESP_Q10f_num","TX_RESP_Q21b_num","TX_RESP_Q22g_num","TX_RESP_Q23a_num","TX_RESP_Q23c_num"
-0.466457810561192,0.25,0.540061724867322,0.729234492969466,-0.658280588604383,0.834364049043722,1.58333333333333,-0.816496580927726
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
-0.460123913316827,0.25,0.540061724867322,-0.833410849107961,0.658280588604383,0.834364049043722,0.25,0.408248290463863
-0.739568690005662,0.25,0.540061724867322,0.729234492969466,1.97484176581315,0.834364049043722,0.25,0.408248290463863
0.143718774215437,-1.75,-1.08012344973464,-0.833410849107961,-0.658280588604383,0.834364049043722,-1.08333333333333,-0.816496580927726
0.236642514160251,0.25,0.540061724867322,0.729234492969466,-0.658280588604383,0.834364049043722,0.25,0.408248290463863
1.64268054660772,0.25,-1.08012344973464,0.729234492969466,0.658280588604383,0.834364049043722,-1.08333333333333,0.408248290463863
NA,NA,NA,NA,NA,NA,NA,NA
2.31425829040644,0.25,-1.08012344973464,-0.833410849107961,-0.658280588604383,0.834364049043722,0.25,1.63299316185545
-0.387679121215972,0.25,0.540061724867322,0.729234492969466,-0.658280588604383,-0.945612588916218,-1.08333333333333,-0.816496580927726
-0.217685812878934,-1.75,-2.70030862433661,-2.39605619118539,-0.658280588604383,-1.83560090789619,-2.41666666666667,-2.04124145231931
NA,NA,NA,NA,NA,NA,NA,NA
-0.609262694813677,2.25,0.540061724867322,NA,NA,-1.83560090789619,0.25,NA
-1.21582487612341,0.25,0.540061724867322,0.729234492969466,0.658280588604383,-0.945612588916218,0.25,-0.816496580927726
1.27276397439961,0.25,0.540061724867322,-0.833410849107961,NA,-0.0556242699362481,0.25,0.408248290463863
-1.03174211819571,0.25,0.540061724867322,0.729234492969466,-0.658280588604383,-0.945612588916218,0.25,-0.816496580927726
-0.466413753988614,0.25,0.540061724867322,0.729234492969466,1.97484176581315,-0.0556242699362481,1.58333333333333,1.63299316185545
0.679261985786191,-1.75,0.540061724867322,-0.833410849107961,-0.658280588604383,0.834364049043722,0.25,0.408248290463863
-0.694567294475655,0.25,NA,0.729234492969466,-0.658280588604383,-0.0556242699362481,0.25,0.408248290463863
