"Variavel","N_Total","N_NA","Pct_NA"
"TX_RESP_Q10b_num",23,6,26.09
"TX_RESP_Q10c_num",23,6,26.09
"TX_RESP_Q10d_num",23,6,26.09
"TX_RESP_Q10e_num",23,6,26.09
"TX_RESP_Q10f_num",23,6,26.09
"TX_RESP_Q21b_num",23,6,26.09
"TX_RESP_Q21d_num",23,6,26.09
"TX_RESP_Q23d_num",23,6,26.09
"TX_RESP_Q19_num",23,6,26.09
"TX_RESP_Q20_num",23,6,26.09
"TX_RESP_Q10a_num",23,5,21.74
"TX_RESP_Q21a_num",23,5,21.74
"TX_RESP_Q21c_num",23,5,21.74
"TX_RESP_Q21e_num",23,5,21.74
"TX_RESP_Q22a_num",23,5,21.74
"TX_RESP_Q22b_num",23,5,21.74
"TX_RESP_Q22c_num",23,5,21.74
"TX_RESP_Q22d_num",23,5,21.74
"TX_RESP_Q22e_num",23,5,21.74
"TX_RESP_Q22f_num",23,5,21.74
"TX_RESP_Q22g_num",23,5,21.74
"TX_RESP_Q22h_num",23,5,21.74
"TX_RESP_Q23a_num",23,5,21.74
"TX_RESP_Q23b_num",23,5,21.74
"TX_RESP_Q23c_num",23,5,21.74
"TX_RESP_Q23e_num",23,5,21.74
"TX_RESP_Q23f_num",23,5,21.74
"TX_RESP_Q23g_num",23,5,21.74
"TX_RESP_Q23h_num",23,5,21.74
"TX_RESP_Q23i_num",23,5,21.74
"TX_RESP_Q01",23,0,0
"TX_RESP_Q02",23,0,0
"TX_RESP_Q03",23,0,0
"TX_RESP_Q04",23,0,0
"TX_RESP_Q05a",23,0,0
"TX_RESP_Q05b",23,0,0
"TX_RESP_Q05c",23,0,0
"TX_RESP_Q06",23,0,0
"TX_RESP_Q07a",23,0,0
"TX_RESP_Q07b",23,0,0
"TX_RESP_Q07c",23,0,0
"TX_RESP_Q07d",23,0,0
"TX_RESP_Q07e",23,0,0
"TX_RESP_Q08",23,0,0
"TX_RESP_Q09",23,0,0
"TX_RESP_Q10a",23,0,0
"TX_RESP_Q10b",23,0,0
"TX_RESP_Q10c",23,0,0
"TX_RESP_Q10d",23,0,0
"TX_RESP_Q10e",23,0,0
"TX_RESP_Q10f",23,0,0
"TX_RESP_Q11a",23,0,0
"TX_RESP_Q11b",23,0,0
"TX_RESP_Q11c",23,0,0
"TX_RESP_Q12a",23,0,0
"TX_RESP_Q12b",23,0,0
"TX_RESP_Q12c",23,0,0
"TX_RESP_Q12d",23,0,0
"TX_RESP_Q12e",23,0,0
"TX_RESP_Q12f",23,0,0
"TX_RESP_Q12g",23,0,0
"TX_RESP_Q13a",23,0,0
"TX_RESP_Q13b",23,0,0
"TX_RESP_Q13c",23,0,0
"TX_RESP_Q13d",23,0,0
"TX_RESP_Q13e",23,0,0
"TX_RESP_Q13f",23,0,0
"TX_RESP_Q13g",23,0,0
"TX_RESP_Q13h",23,0,0
"TX_RESP_Q13i",23,0,0
"TX_RESP_Q14",23,0,0
"TX_RESP_Q15a",23,0,0
"TX_RESP_Q15b",23,0,0
"TX_RESP_Q16",23,0,0
"TX_RESP_Q17",23,0,0
"TX_RESP_Q18",23,0,0
"TX_RESP_Q19",23,0,0
"TX_RESP_Q20",23,0,0
"TX_RESP_Q21a",23,0,0
"TX_RESP_Q21b",23,0,0
"TX_RESP_Q21c",23,0,0
"TX_RESP_Q21d",23,0,0
"TX_RESP_Q21e",23,0,0
"TX_RESP_Q22a",23,0,0
"TX_RESP_Q22b",23,0,0
"TX_RESP_Q22c",23,0,0
"TX_RESP_Q22d",23,0,0
"TX_RESP_Q22e",23,0,0
"TX_RESP_Q22f",23,0,0
"TX_RESP_Q22g",23,0,0
"TX_RESP_Q22h",23,0,0
"TX_RESP_Q23a",23,0,0
"TX_RESP_Q23b",23,0,0
"TX_RESP_Q23c",23,0,0
"TX_RESP_Q23d",23,0,0
"TX_RESP_Q23e",23,0,0
"TX_RESP_Q23f",23,0,0
"TX_RESP_Q23g",23,0,0
"TX_RESP_Q23h",23,0,0
"TX_RESP_Q23i",23,0,0
"TX_RESP_Q24",23,0,0
"TX_RESP_Q25",23,0,0
