"PROFICIENCIA_LP_SAEB","TX_RESP_Q21c_num","TX_RESP_Q21e_num"
1.4618492258425,-0.113028007133081,0.937502177242647
-0.52269133885633,1.01725206419773,0.937502177242647
-0.227923271287447,-1.24330807846389,-1.06681282237956
-0.636524470911204,-2.3735881497947,0.937502177242647
-1.22271492975805,-0.113028007133081,-2.06897032219067
0.360466834929845,1.01725206419773,0.937502177242647
-0.67442564974275,-1.24330807846389,0.937502177242647
-1.63219846733597,-1.24330807846389,0.937502177242647
0.00579430369470354,-0.113028007133081,0.937502177242647
0.237384331109101,-0.113028007133081,-2.06897032219067
0.545211708102558,-0.113028007133081,-0.0646553225684584
0.845543139623857,1.01725206419773,-0.0646553225684584
0.919944797545682,-0.113028007133081,0.937502177242647
0.914859235406265,-0.113028007133081,0.937502177242647
NA,NA,NA
NA,NA,NA
0.13010170646122,-0.113028007133081,-1.06681282237956
-1.03763762024687,NA,-0.0646553225684584
1.33550556101728,1.01725206419773,-0.0646553225684584
-0.820975238250479,-0.113028007133081,-0.0646553225684584
-0.625234357694635,-0.113028007133081,-1.06681282237956
-0.572401013145398,-0.113028007133081,-0.0646553225684584
1.80931541759308,-0.113028007133081,-0.0646553225684584
0.655078266955752,1.01725206419773,-1.06681282237956
NA,NA,NA
0.559774272845896,1.01725206419773,0.937502177242647
NA,NA,NA
-1.50105547147455,1.01725206419773,-2.06897032219067
1.66221930235404,1.01725206419773,0.937502177242647
0.55548651292035,1.01725206419773,0.937502177242647
0.0837579986770478,1.01725206419773,-0.0646553225684584
1.06444685392626,-0.113028007133081,0.937502177242647
-1.1654090247961,-2.3735881497947,-1.06681282237956
NA,NA,NA
NA,NA,NA
-0.815459204494779,1.01725206419773,-0.0646553225684584
-1.69208941101086,-1.24330807846389,-0.0646553225684584
