"PROFICIENCIA_LP_SAEB","TX_RESP_Q10c_num","TX_RESP_Q10e_num","TX_RESP_Q21d_num","TX_RESP_Q22a_num","TX_RESP_Q23g_num","TX_RESP_Q19_num"
0.868238075074967,0.508757885900715,0.332249319622494,0.959396679663983,-0.37302316011237,-1.51633272762797,-0.549459132211545
1.06975123384416,0.508757885900715,0.332249319622494,-1.09645334818741,-1.78222176498132,-1.51633272762797,-0.549459132211545
0.878222137963773,0.508757885900715,0.332249319622494,0.959396679663983,-1.78222176498132,-0.362601304432776,-0.549459132211545
0.67551878145917,0.508757885900715,0.332249319622494,-0.411170005570279,-0.37302316011237,-1.51633272762797,-0.549459132211545
NA,NA,NA,NA,NA,NA,NA
-0.200199291442341,0.508757885900715,0.332249319622494,-1.09645334818741,1.03617544475658,0.791130118762419,-0.549459132211545
-1.20884328649612,0.508757885900715,0.332249319622494,-1.09645334818741,-0.37302316011237,0.791130118762419,1.14886909462414
0.679644734231372,-3.44824789332707,0.332249319622494,-1.09645334818741,1.03617544475658,0.791130118762419,-0.549459132211545
0.231532566884031,0.508757885900715,0.332249319622494,0.959396679663983,1.03617544475658,0.791130118762419,-0.549459132211545
0.50581732912201,0.508757885900715,0.332249319622494,-1.09645334818741,1.03617544475658,-1.51633272762797,-0.549459132211545
-0.508632114738833,0.508757885900715,0.332249319622494,-1.09645334818741,-0.37302316011237,0.791130118762419,1.14886909462414
1.3719381651302,0.508757885900715,0.332249319622494,-1.09645334818741,1.03617544475658,0.791130118762419,-0.549459132211545
0.750590345896951,0.508757885900715,0.332249319622494,0.959396679663983,-0.37302316011237,-0.362601304432776,-0.549459132211545
-0.757310862684285,-1.46974500371318,0.332249319622494,0.959396679663983,-0.37302316011237,0.791130118762419,-0.549459132211545
NA,NA,NA,NA,NA,NA,NA
0.614889502951604,-1.46974500371318,0.332249319622494,-1.09645334818741,-1.78222176498132,-1.51633272762797,-0.549459132211545
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
0.170712751763781,0.508757885900715,0.332249319622494,-1.09645334818741,NA,NA,1.14886909462414
1.05070518500255,0.508757885900715,0.332249319622494,0.959396679663983,-0.37302316011237,-0.362601304432776,1.14886909462414
-0.69431938553464,-1.46974500371318,-4.31924115509243,0.959396679663983,1.03617544475658,-0.362601304432776,-0.549459132211545
0.952310326310855,0.508757885900715,0.332249319622494,0.274113337046852,-0.37302316011237,-0.362601304432776,-0.549459132211545
0.433795480185253,0.508757885900715,0.332249319622494,-1.09645334818741,1.03617544475658,1.94486154195761,-0.549459132211545
0.642672932043644,0.508757885900715,0.332249319622494,-1.09645334818741,-1.78222176498132,0.791130118762419,1.14886909462414
-2.17786890964859,-1.46974500371318,-1.99349591773497,0.959396679663983,-0.37302316011237,-0.362601304432776,-0.549459132211545
0.0340859909090283,0.508757885900715,0.332249319622494,0.959396679663983,1.03617544475658,0.791130118762419,-0.549459132211545
0.130801353565859,0.508757885900715,0.332249319622494,-1.09645334818741,-0.37302316011237,-1.51633272762797,-0.549459132211545
2.0251838954474,0.508757885900715,0.332249319622494,-1.09645334818741,-0.37302316011237,-1.51633272762797,-0.549459132211545
-1.26575067915735,0.508757885900715,0.332249319622494,0.959396679663983,-0.37302316011237,0.791130118762419,-0.549459132211545
0.44642708606596,0.508757885900715,0.332249319622494,-1.09645334818741,-0.37302316011237,0.791130118762419,-0.549459132211545
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
-0.100898606086726,-1.46974500371318,-1.99349591773497,0.959396679663983,1.03617544475658,0.791130118762419,2.84719732145982
-0.379126449051057,0.508757885900715,0.332249319622494,0.274113337046852,-1.78222176498132,0.791130118762419,1.14886909462414
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
-1.34403281071983,NA,NA,NA,NA,0.791130118762419,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
-1.99620324228424,-1.46974500371318,-1.99349591773497,0.959396679663983,1.03617544475658,0.791130118762419,2.84719732145982
NA,NA,NA,NA,NA,NA,NA
0.851639438869051,0.508757885900715,0.332249319622494,0.959396679663983,-0.37302316011237,-1.51633272762797,-0.549459132211545
0.540597360654887,0.508757885900715,0.332249319622494,-1.09645334818741,-0.37302316011237,0.791130118762419,-0.549459132211545
-1.4838615182341,0.508757885900715,0.332249319622494,0.959396679663983,1.03617544475658,-0.362601304432776,1.14886909462414
-0.443761028578087,-1.46974500371318,0.332249319622494,0.959396679663983,1.03617544475658,0.791130118762419,-0.549459132211545
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
-1.21120166154476,0.508757885900715,0.332249319622494,0.959396679663983,1.03617544475658,-0.362601304432776,NA
-1.15306482717554,0.508757885900715,0.332249319622494,0.959396679663983,1.03617544475658,-0.362601304432776,-0.549459132211545
