"PROFICIENCIA_LP_SAEB","TX_RESP_Q10b_num","TX_RESP_Q10c_num","TX_RESP_Q10e_num","TX_RESP_Q10f_num","TX_RESP_Q21b_num","TX_RESP_Q21c_num","TX_RESP_Q21e_num","TX_RESP_Q22a_num","TX_RESP_Q22c_num","TX_RESP_Q22d_num","TX_RESP_Q22f_num","TX_RESP_Q22g_num","TX_RESP_Q22h_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23c_num","TX_RESP_Q23d_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num","TX_RESP_Q23i_num"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.578304630608127,-0.34687296754716,0.665026647782209,0.301511344577763,0.833476259898716,0.866025403784439,0.316227766016838,-1.16189500386223,0,1,1.4070529413629,2.19686212779868,0.42174116783665,0.793328828021918,1.12464311423107,1.30585725019802,0.793328828021918,1.15577119279413,1.35783580733207,0.514495755427527,0.720749970156447
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.5907583587802,-1.61874051522008,-1.77340439408589,0.301511344577763,0.833476259898716,0.866025403784439,-0.737864787372622,-0.193649167310371,-1.11803398874989,0,0.301511344577764,-0.34687296754716,0.42174116783665,0.793328828021918,-0.42174116783665,0.217642875033004,-0.661107356684931,-0.963142660661774,-1.00051059487626,0.514495755427527,-0.270281238808668
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.235030917333075,-0.34687296754716,-0.554188873151841,0.301511344577763,-1.20391015318703,-0.866025403784439,-0.737864787372622,0.774596669241483,0,-2,-0.804030252207369,-0.34687296754716,0.42174116783665,-0.661107356684931,-0.42174116783665,-1.95878587529703,-0.661107356684931,-0.963142660661774,-1.00051059487626,NA,-2.2523436567389
-0.59692235719165,-0.34687296754716,-0.554188873151841,-3.01511344577764,-1.20391015318703,0,0.316227766016838,0.774596669241483,1.11803398874989,1,1.4070529413629,-0.34687296754716,0.42174116783665,-0.661107356684931,1.12464311423107,1.30585725019802,0.793328828021918,0.0963142660661774,1.35783580733207,0.514495755427527,0.720749970156447
0.100144103203557,-1.61874051522008,-1.77340439408589,0.301511344577763,0.833476259898716,-0.866025403784439,-1.79195734076208,-2.13014084041408,-1.11803398874989,-1,-0.804030252207369,-0.34687296754716,-2.67102739629878,-0.661107356684931,-1.96812544990437,-0.870571500132014,-0.661107356684931,0.0963142660661774,-1.00051059487626,-2.57247877713763,-1.26131244777378
-1.03085621489873,0.92499458012576,0.665026647782209,0.301511344577763,-1.20391015318703,-0.866025403784439,1.3703203194063,0.774596669241483,-1.11803398874989,1,1.4070529413629,0.92499458012576,0.42174116783665,0.793328828021918,1.12464311423107,0.217642875033004,0.793328828021918,1.15577119279413,-1.00051059487626,0.514495755427527,0.720749970156447
