"PROFICIENCIA_MT_SAEB","TX_RESP_Q10a_num","TX_RESP_Q21a_num"
-0.222033239176166,0.49632788116614,-0.334757380208054
-0.198466942451236,0.49632788116614,0.875519302082602
-0.606604917865161,0.49632788116614,0.875519302082602
-0.121895114720781,0.49632788116614,0.875519302082602
-0.420366478023746,-1.02367625490516,-1.54503406249871
-0.157595207699987,-1.02367625490516,-0.334757380208054
-1.10127990364663,0.49632788116614,-0.334757380208054
-1.52576095578609,-1.02367625490516,-0.334757380208054
0.264019513969099,-1.02367625490516,-0.334757380208054
-0.40404413290745,-1.02367625490516,-1.54503406249871
-0.490494506971133,0.49632788116614,-1.54503406249871
0.841754033630187,-1.02367625490516,0.875519302082602
-1.45408752721793,-1.02367625490516,-1.54503406249871
-1.04070596043654,-1.02367625490516,-0.334757380208054
-1.17526957671249,2.01633201723744,0.875519302082602
-1.76474881487934,2.01633201723744,-0.334757380208054
-1.62497820398191,0.49632788116614,-1.54503406249871
0.339793654844352,0.49632788116614,-0.334757380208054
-0.262136551375356,2.01633201723744,-0.334757380208054
-1.18750463051083,NA,-1.54503406249871
NA,NA,NA
NA,NA,NA
1.32914724898323,-1.02367625490516,0.875519302082602
-1.14722811117215,0.49632788116614,-0.334757380208054
-1.93991096694229,0.49632788116614,-0.334757380208054
1.0657429444271,0.49632788116614,0.875519302082602
-0.170403523227852,2.01633201723744,NA
1.18025918186178,-1.02367625490516,0.875519302082602
-0.741047788884366,0.49632788116614,-0.334757380208054
0.107522793498422,-1.02367625490516,0.875519302082602
NA,NA,NA
0.540482179083237,-1.02367625490516,-1.54503406249871
2.6238197260196,0.49632788116614,2.08579598437326
0.244288019384365,0.49632788116614,NA
0.744539568000399,-1.02367625490516,-0.334757380208054
0.329479657426159,0.49632788116614,-1.54503406249871
1.08771017939746,0.49632788116614,0.875519302082602
0.224818790567852,0.49632788116614,-1.54503406249871
0.107260571375694,0.49632788116614,0.875519302082602
2.2512415887927,-1.02367625490516,2.08579598437326
0.788631379943844,-1.02367625490516,-0.334757380208054
-0.0328211009512782,2.01633201723744,0.875519302082602
0.0356603144767678,-1.02367625490516,0.875519302082602
0.70065389372101,-1.02367625490516,0.875519302082602
0.638256463630663,-1.02367625490516,0.875519302082602
-0.163642596291697,0.49632788116614,0.875519302082602
-0.147171441866571,0.49632788116614,-0.334757380208054
-0.291774612699909,0.49632788116614,-0.334757380208054
-0.451443814952523,0.49632788116614,NA
-0.542179107127059,-1.02367625490516,-0.334757380208054
1.61123038429802,0.49632788116614,0.875519302082602
1.29961649010354,-1.02367625490516,-0.334757380208054
1.02966715104303,-1.02367625490516,0.875519302082602
NA,NA,NA
