"PROFICIENCIA_MT_SAEB","TX_RESP_Q10b_num","TX_RESP_Q22a_num","TX_RESP_Q22c_num"
-0.222085108271386,0,0.834670581258631,1.02515543405402
NA,NA,NA,NA
-0.963612363684915,1.26929551764398,0.834670581258631,1.02515543405402
-1.09470766596185,0,0.834670581258631,1.02515543405402
-0.0461239985554654,0,0.834670581258631,1.02515543405402
NA,1.26929551764398,0.834670581258631,1.02515543405402
NA,NA,NA,NA
0.593914333645315,NA,NA,NA
-1.73396584649757,-1.26929551764398,0.834670581258631,NA
0.823324671574825,0,-0.638277503315423,-0.267431852361918
NA,NA,NA,NA
NA,NA,NA,NA
-0.826488910197386,1.26929551764398,-0.638277503315423,-0.267431852361918
-0.854337357757928,0,0.834670581258631,1.02515543405402
0.601367049482538,NA,0.834670581258631,-0.267431852361918
-1.31289851597341,1.26929551764398,NA,NA
0.210724065906268,0,-0.638277503315423,-1.56001913877785
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-0.324283715853972,-1.26929551764398,-2.11122558788948,-0.267431852361918
NA,NA,NA,NA
-0.0143764836387357,0,-0.638277503315423,-0.267431852361918
NA,NA,NA,NA
-1.28325951657753,1.26929551764398,-0.638277503315423,-0.267431852361918
NA,NA,NA,NA
NA,NA,NA,NA
1.27496755243165,-1.26929551764398,0.834670581258631,-0.267431852361918
NA,NA,NA,NA
NA,NA,NA,NA
-0.307017199361,1.26929551764398,0.834670581258631,1.02515543405402
-1.12480033700185,-1.26929551764398,0.834670581258631,1.02515543405402
-0.0656364909868087,-1.26929551764398,-0.638277503315423,-1.56001913877785
1.71909927140928,0,0.834670581258631,1.02515543405402
1.96351468521211,0,-2.11122558788948,-1.56001913877785
NA,NA,NA,NA
1.35921913605508,-1.26929551764398,-2.11122558788948,-0.267431852361918
NA,NA,NA,NA
1.20534125301579,-1.26929551764398,-0.638277503315423,-0.267431852361918
-0.145406483762504,0,-0.638277503315423,-1.56001913877785
-0.440623098872115,0,-0.638277503315423,-0.267431852361918
NA,NA,NA,NA
1.70016247710319,-1.26929551764398,-0.638277503315423,-0.267431852361918
NA,NA,NA,NA
1.12901321252412,1.26929551764398,-0.638277503315423,-1.56001913877785
-0.522271327918563,0,0.834670581258631,1.02515543405402
NA,NA,NA,NA
-0.132107780206923,-1.26929551764398,0.834670581258631,-1.56001913877785
NA,NA,NA,NA
NA,NA,NA,NA
-0.445542865937797,1.26929551764398,0.834670581258631,1.02515543405402
-0.72110264134247,1.26929551764398,0.834670581258631,1.02515543405402
