"PROFICIENCIA_LP_SAEB","TX_RESP_Q10d_num","TX_RESP_Q10e_num","TX_RESP_Q10f_num","TX_RESP_Q21c_num","TX_RESP_Q21d_num","TX_RESP_Q22a_num","TX_RESP_Q22b_num","TX_RESP_Q22c_num","TX_RESP_Q22d_num","TX_RESP_Q22e_num","TX_RESP_Q22f_num","TX_RESP_Q22g_num","TX_RESP_Q22h_num","TX_RESP_Q23b_num","TX_RESP_Q19_num","TX_RESP_Q20_num"
0.328692648974706,0.539359889970594,0.583874208121143,0.707106781186547,1.20391015318703,0.803449400801685,0.0635466690575621,0.301511344577764,1.02787243329629,0.707106781186547,0,0.893435036295209,0.185216946644159,0.0963142660661774,-0.301511344577763,-0.741619848709566,-0.301511344577763
2.06168066375585,0.539359889970594,0.583874208121143,0.707106781186547,1.20391015318703,-1.23607600123336,-1.46157338832393,-0.804030252207369,-1.25628852958435,-0.707106781186547,-1.5,-0.744529196912675,-0.833476259898716,-0.963142660661774,-0.301511344577763,-0.741619848709566,-0.301511344577763
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.392603800040429,0.539359889970594,0.583874208121143,0.707106781186547,0.185216946644159,0.123607600123336,0.826106697748306,0.301511344577764,1.02787243329629,0.707106781186547,1.5,0.893435036295209,1.20391015318703,1.15577119279413,-0.301511344577763,-0.741619848709566,-0.301511344577763
-0.953489129851744,0.539359889970594,0.583874208121143,0.707106781186547,0.185216946644159,0.803449400801685,0.826106697748306,1.4070529413629,1.02787243329629,0.707106781186547,0,0.893435036295209,1.20391015318703,1.15577119279413,-0.301511344577763,0.741619848709566,3.01511344577764
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.941780735556342,NA,NA,NA,NA,NA,0.826106697748306,NA,NA,NA,NA,NA,NA,NA,NA,2.2248595461287,NA
-0.195990576035592,-0.943879807448539,-1.55699788832305,-2.12132034355964,-0.833476259898716,-1.23607600123336,-1.46157338832393,-0.804030252207369,-0.114208048144032,0.707106781186547,0,-1.56351131351662,-1.85216946644159,-0.963142660661774,1.35680105059994,0.741619848709566,-0.301511344577763
0.927812511138543,0.539359889970594,0.583874208121143,0.707106781186547,0.185216946644159,-1.23607600123336,0.826106697748306,-0.804030252207369,-0.114208048144032,-0.707106781186547,0,0.0744529196912674,0.185216946644159,0.0963142660661774,1.35680105059994,-0.741619848709566,-0.301511344577763
1.38749870871779,0.539359889970594,0.583874208121143,0.707106781186547,1.20391015318703,0.803449400801685,-1.46157338832393,-0.804030252207369,-1.25628852958435,-0.707106781186547,-1.5,-0.744529196912675,-0.833476259898716,-0.963142660661774,-0.301511344577763,-0.741619848709566,-0.301511344577763
-1.14717359086792,0.539359889970594,0.583874208121143,-0.707106781186547,-0.833476259898716,0.803449400801685,0.826106697748306,1.4070529413629,NA,NA,NA,0.893435036295209,0.185216946644159,1.15577119279413,-0.301511344577763,0.741619848709566,-0.301511344577763
-0.0262468755584383,0.539359889970594,0.583874208121143,NA,-1.85216946644159,-1.23607600123336,0.826106697748306,1.4070529413629,1.02787243329629,0.707106781186547,1.5,0.893435036295209,1.20391015318703,1.15577119279413,1.35680105059994,-0.741619848709566,-0.301511344577763
-0.540562890717469,-0.943879807448539,-1.55699788832305,-0.707106781186547,0.185216946644159,0.803449400801685,-0.699013359633182,-0.804030252207369,-1.25628852958435,-2.12132034355964,0,0.0744529196912674,-0.833476259898716,-0.963142660661774,-1.95982373975546,-0.741619848709566,-0.301511344577763
-0.507836933958962,-2.42711950486767,-1.55699788832305,-0.707106781186547,-0.833476259898716,0.803449400801685,0.0635466690575621,-0.804030252207369,-0.114208048144032,0.707106781186547,0,-1.56351131351662,0.185216946644159,-0.963142660661774,-0.301511344577763,0.741619848709566,-0.301511344577763
