"PROFICIENCIA_LP_SAEB","TX_RESP_Q10a_num","TX_RESP_Q10b_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q22a_num","TX_RESP_Q22d_num","TX_RESP_Q23a_num","TX_RESP_Q23c_num","TX_RESP_Q23d_num"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.39905681240901,0.774596669241483,1.26491106406735,1.06066017177982,1.35819028529283,-0.707106781186547,0.737864787372622,0.316227766016838,0.135526185435788,-1.49078803979366
-0.369008215863552,-1.16189500386223,-0.316227766016838,0,0.559254823355873,0.707106781186547,-1.3703203194063,0.316227766016838,0.135526185435788,-0.135526185435788
-0.431565343439459,0.774596669241483,1.26491106406735,1.06066017177982,0.559254823355873,0.707106781186547,1.79195734076208,0.316227766016838,0.135526185435788,1.21973566892209
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.805676025571203,0.774596669241483,-0.316227766016838,1.06066017177982,0.559254823355873,0.707106781186547,0.737864787372622,1.89736659610103,1.49078803979366,-0.135526185435788
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.352105181862517,-1.16189500386223,1.26491106406735,0,-1.03861610051805,0.707106781186547,-0.316227766016838,0.316227766016838,-1.21973566892209,1.21973566892209
0.979647342922136,-1.16189500386223,-0.316227766016838,-1.06066017177982,1.35819028529283,-2.12132034355964,-0.316227766016838,-1.26491106406735,-1.21973566892209,-0.135526185435788
0.590558515639944,0.774596669241483,-0.316227766016838,-1.06066017177982,-1.03861610051805,-0.707106781186547,-0.316227766016838,-1.26491106406735,0.135526185435788,-1.49078803979366
-1.27646092689494,0.774596669241483,-0.316227766016838,-1.06066017177982,-1.03861610051805,0.707106781186547,-0.316227766016838,0.316227766016838,1.49078803979366,1.21973566892209
0.98754777366803,-1.16189500386223,-0.316227766016838,-1.06066017177982,-0.239680638581088,0.707106781186547,0.737864787372622,-1.26491106406735,-1.21973566892209,-0.135526185435788
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.42620511473247,0.774596669241483,-1.89736659610103,1.06066017177982,-1.03861610051805,-0.707106781186547,-1.3703203194063,0.316227766016838,0.135526185435788,-0.135526185435788
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
