"PROFICIENCIA_MT_SAEB","TX_RESP_Q10b_num","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q22a_num"
1.09021811931431,1.07937232068015,0.788254419105764,0.885646156700061,1.68325082306035,-2.91547594742265
0.0951979402351143,1.07937232068015,0.788254419105764,2.02433407245728,1.68325082306035,0.58309518948453
2.66943646654956,1.07937232068015,0.788254419105764,0.885646156700061,0.841625411530173,-0.58309518948453
-0.463207538970556,-1.90965872120334,0.788254419105764,-0.25304175905716,-0.841625411530173,0.58309518948453
-0.907624629452347,-1.90965872120334,-2.04946148967499,-1.39172967481438,-0.841625411530173,0.58309518948453
-0.903226831279297,-0.415143200261595,-0.630603535284612,-0.25304175905716,0.841625411530173,0.58309518948453
-0.0481824920378784,-0.415143200261595,-0.630603535284612,-0.25304175905716,-0.841625411530173,0.58309518948453
0.0957253485088428,1.07937232068015,-0.630603535284612,-0.25304175905716,-0.841625411530173,0.58309518948453
-0.161403300660872,-0.415143200261595,-2.04946148967499,-0.25304175905716,-0.841625411530173,0.58309518948453
-1.24047778334795,-0.415143200261595,-0.630603535284612,-1.39172967481438,-0.841625411530173,0.58309518948453
-0.238257269149843,-0.415143200261595,0.788254419105764,-0.25304175905716,-0.841625411530173,0.58309518948453
-0.120925927834684,1.07937232068015,-0.630603535284612,0.885646156700061,0.841625411530173,-1.74928556845359
-0.488136892659762,-0.415143200261595,0.788254419105764,-1.39172967481438,-0.841625411530173,-0.58309518948453
-0.43635837851694,1.07937232068015,0.788254419105764,0.885646156700061,-0.841625411530173,-0.58309518948453
-0.0865713397138237,-0.415143200261595,0.788254419105764,-0.25304175905716,0.841625411530173,0.58309518948453
0.0922201231489484,-0.415143200261595,0.788254419105764,-1.39172967481438,-0.841625411530173,0.58309518948453
-0.91937853182709,1.07937232068015,-0.630603535284612,0.885646156700061,0.841625411530173,0.58309518948453
1.97095291769429,-0.415143200261595,0.788254419105764,0.885646156700061,0.841625411530173,-0.58309518948453
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
