"PROFICIENCIA_LP_SAEB","TX_RESP_Q21d_num"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
0.0965040543817556,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
1.48342424074021,-0.615853801740804
-0.553880092709304,-0.615853801740804
NA,NA
NA,NA
-0.384353293116309,-0.615853801740804
NA,NA
NA,NA
NA,NA
NA,NA
0.549880865255453,-0.615853801740804
NA,NA
1.42812297100233,-0.615853801740804
NA,NA
0.106777629505688,NA
1.05530494329012,-0.615853801740804
NA,NA
NA,NA
NA,NA
-1.17775384525531,NA
0.566244116095942,-0.615853801740804
0.17388696791445,-0.615853801740804
NA,NA
0.972723153102386,-0.615853801740804
0.293148140196042,NA
NA,NA
0.940890892922558,-0.615853801740804
NA,NA
NA,NA
NA,NA
0.162938674621809,1.75958229068801
NA,NA
NA,NA
1.26899158803312,-0.615853801740804
-0.404976323079066,NA
0.649101781309803,-0.615853801740804
NA,NA
NA,NA
NA,NA
NA,NA
-0.945633812517465,-0.615853801740804
-0.396918844550068,-0.615853801740804
-1.05779840592053,-0.615853801740804
0.921939136108303,-0.615853801740804
0.137625977847659,-0.615853801740804
NA,NA
1.20499146110384,-0.615853801740804
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
1.32209975250018,NA
0.742188186479243,1.75958229068801
1.19738798820469,-0.615853801740804
NA,NA
NA,NA
NA,NA
-3.09445445496508,-0.615853801740804
-0.891096910421735,1.75958229068801
NA,NA
1.12040738111748,-0.615853801740804
1.13402118671539,-0.615853801740804
NA,NA
NA,NA
0.714350178577741,-0.615853801740804
1.33031817029799,-0.615853801740804
NA,NA
NA,NA
0.90385862947108,-0.615853801740804
0.932905830805545,-0.615853801740804
-2.71886286406957,1.75958229068801
0.612698253378801,-0.615853801740804
NA,NA
NA,NA
NA,NA
NA,NA
-1.06562945537454,NA
NA,NA
NA,NA
-0.521873123502118,NA
NA,NA
NA,NA
-0.688265446195034,1.75958229068801
0.843396433367243,1.75958229068801
0.00704637699107978,0.967770259878407
NA,NA
NA,NA
0.262921642495274,-0.615853801740804
NA,NA
-0.262340401495649,1.75958229068801
NA,NA
-0.169545936070635,0.967770259878407
0.671889187819869,1.75958229068801
0.720405367308122,-0.615853801740804
1.0607624201833,-0.615853801740804
-0.841562311246181,1.75958229068801
-1.1060111500023,1.75958229068801
-2.25059289098623,1.75958229068801
-0.0244525298523339,-0.615853801740804
-0.940826894125734,0.175958229068801
NA,NA
0.831819404554127,-0.615853801740804
-0.0620468706749678,-0.615853801740804
NA,NA
NA,NA
-0.62324460461869,NA
-1.49956716429784,-0.615853801740804
-0.637476818418165,1.75958229068801
NA,NA
-1.34290935154509,-0.615853801740804
-0.156107986979963,1.75958229068801
-1.54329714262199,0.175958229068801
1.77994096945343,-0.615853801740804
0.710388118325832,-0.615853801740804
-0.128278032300883,-0.615853801740804
NA,NA
NA,NA
-0.42785339992584,1.75958229068801
-0.421100501702633,-0.615853801740804
NA,NA
-0.499437450869797,-0.615853801740804
NA,NA
NA,NA
-0.123457344150607,-0.615853801740804
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
-0.525297266050136,-0.615853801740804
-0.314841653423196,NA
NA,NA
-0.896630246166529,0.175958229068801
-0.784088632601847,-0.615853801740804
0.571161380325468,-0.615853801740804
