"PROFICIENCIA_MT_SAEB","TX_RESP_Q22a_num"
NA,NA
NA,NA
-0.237612479489092,-1.6007440201291
0.503569892448896,-0.295282877499543
-0.0619741416525405,1.01017826513001
NA,NA
0.215944742314808,-0.295282877499543
2.28954381779623,-1.6007440201291
NA,NA
-1.61282122598143,1.01017826513001
-0.654608052170976,1.01017826513001
0.291963560832167,-1.6007440201291
NA,NA
-0.979585851962842,-1.6007440201291
-1.273079260058,NA
-0.786722666916191,-0.295282877499543
NA,NA
-0.60739478117796,1.01017826513001
NA,NA
NA,NA
0.647265207508355,-1.6007440201291
-0.469031955245103,-0.295282877499543
NA,NA
0.295804516470089,1.01017826513001
-0.602086030830067,-0.295282877499543
0.116981225823372,1.01017826513001
NA,-1.6007440201291
NA,NA
0.352195666652736,-0.295282877499543
0.318771466230024,1.01017826513001
0.611570289343667,-1.6007440201291
0.479811862492868,-0.295282877499543
-2.33153229474046,1.01017826513001
NA,NA
NA,NA
-0.167786933084263,-0.295282877499543
0.529816776687277,-0.295282877499543
NA,NA
-0.923875930379511,-0.295282877499543
1.14066547335212,-1.6007440201291
-0.0945983664755031,1.01017826513001
-0.702659854364061,1.01017826513001
0.948011555995637,-0.295282877499543
1.1131674439513,-1.6007440201291
-0.703888721187202,1.01017826513001
-0.0188348327663214,-0.295282877499543
-0.588656122139876,1.01017826513001
-1.75552068068663,1.01017826513001
-0.762240391781979,-0.295282877499543
0.909133172013633,1.01017826513001
-0.476066759096846,-2.90620516275866
-1.07747190936738,1.01017826513001
0.0271421629927485,-0.295282877499543
-1.105569515528,-0.295282877499543
-0.399040210835864,1.01017826513001
NA,NA
-0.0691528917228329,1.01017826513001
NA,NA
NA,NA
NA,NA
-0.768139823486012,1.01017826513001
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
-2.15968446099871,-0.295282877499543
NA,NA
NA,NA
NA,NA
0.771358080004661,-0.295282877499543
0.03469491831821,1.01017826513001
0.816880905661891,-0.295282877499543
-0.52033105773427,-1.6007440201291
0.992833875253394,-0.295282877499543
-0.424562876449506,1.01017826513001
-1.04143267269763,1.01017826513001
-1.36142084142855,1.01017826513001
-0.249981232906844,-1.6007440201291
-0.417836782934759,-0.295282877499543
-0.405439803206305,1.01017826513001
NA,NA
2.92842631269637,-1.6007440201291
1.94879263513633,-1.6007440201291
-0.45440286648188,1.01017826513001
-0.413927558392965,1.01017826513001
-0.303693512363687,1.01017826513001
NA,NA
NA,NA
-1.32391678403453,-0.295282877499543
-0.20429218269176,1.01017826513001
-0.623401170514867,-0.295282877499543
-1.16654960530546,1.01017826513001
0.489716987399825,-0.295282877499543
-0.429548073085349,-0.295282877499543
NA,NA
NA,NA
0.898135744644723,1.01017826513001
0.621188955699488,-0.295282877499543
0.432690625735876,1.01017826513001
NA,NA
0.522583114095317,1.01017826513001
1.39190112034,1.01017826513001
NA,NA
-1.41223013909437,1.01017826513001
2.44036445739717,-1.6007440201291
0.0107528729970187,-0.295282877499543
-0.717097519351316,-0.295282877499543
0.482964154567224,-0.295282877499543
0.825523016017048,-0.295282877499543
1.54068107468214,-0.295282877499543
-0.240714320020332,-0.295282877499543
NA,NA
0.477849855087887,1.01017826513001
1.85074778813819,1.01017826513001
1.38543623305139,-0.295282877499543
0.648581621035528,-0.295282877499543
0.796951961954429,-0.295282877499543
