"PROFICIENCIA_LP_SAEB","TX_RESP_Q10b_num","TX_RESP_Q10c_num","TX_RESP_Q21a_num","TX_RESP_Q21e_num","TX_RESP_Q23e_num","TX_RESP_Q19_num","TX_RESP_Q20_num"
NA,NA,NA,NA,NA,NA,NA,NA
-0.1299038300345,-0.210282951992105,-0.973584739395834,0.611385907558693,-1.3985261266916,-1.06057220556069,3.97414250583376,-0.33359972299731
-0.127633470140804,-0.210282951992105,0.657827526618807,-0.481697987773516,-0.326928185460375,0.238087637983013,-0.36797615794757,-0.33359972299731
-0.126978557733373,-0.210282951992105,0.657827526618807,-0.481697987773516,0.744669755770853,0.238087637983013,-0.36797615794757,-0.33359972299731
-0.124621998446048,1.41940992594671,-0.973584739395834,0.611385907558693,0.744669755770853,0.238087637983013,-0.36797615794757,-0.33359972299731
-0.128826800342927,1.41940992594671,0.657827526618807,-0.481697987773516,-1.3985261266916,NA,-0.36797615794757,-0.33359972299731
-0.124764969884717,-1.83997582993092,0.657827526618807,0.611385907558693,0.744669755770853,0.238087637983013,-0.36797615794757,-0.33359972299731
-0.12901428236082,-0.210282951992105,-0.973584739395834,-1.57478188310573,-0.326928185460375,-1.06057220556069,1.80308317394309,2.94679755314291
-0.125622152627298,-0.210282951992105,-0.973584739395834,1.7044698028909,0.744669755770853,0.238087637983013,-0.36797615794757,-0.33359972299731
-0.126397239933387,1.41940992594671,0.657827526618807,0.611385907558693,0.744669755770853,1.53674748152672,-0.36797615794757,-0.33359972299731
-0.125502966870689,-0.210282951992105,-0.973584739395834,1.7044698028909,0.744669755770853,0.238087637983013,-0.36797615794757,-0.33359972299731
-0.125156887137732,-0.210282951992105,-0.973584739395834,-0.481697987773516,-0.326928185460375,1.53674748152672,-0.36797615794757,-0.33359972299731
-0.127436160353033,-0.210282951992105,0.657827526618807,0.611385907558693,0.744669755770853,-1.06057220556069,-0.36797615794757,-0.33359972299731
-0.128597478361595,1.41940992594671,0.657827526618807,0.611385907558693,-0.326928185460375,-1.06057220556069,-0.36797615794757,-0.33359972299731
-0.129050620560358,-1.83997582993092,0.657827526618807,0.611385907558693,-2.47012406792283,0.238087637983013,-0.36797615794757,-0.33359972299731
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
-0.123663314722709,-0.210282951992105,0.657827526618807,-0.481697987773516,0.744669755770853,1.53674748152672,-0.36797615794757,-0.33359972299731
-0.12798142734667,-0.210282951992105,-0.973584739395834,0.611385907558693,-0.326928185460375,-1.06057220556069,-0.36797615794757,-0.33359972299731
-0.12661746756657,-0.210282951992105,0.657827526618807,1.7044698028909,-0.326928185460375,0.238087637983013,-0.36797615794757,-0.33359972299731
-0.129685560123456,-0.210282951992105,-0.973584739395834,-1.57478188310573,0.744669755770853,-1.06057220556069,3.97414250583376,-0.33359972299731
-0.124787309149779,1.41940992594671,0.657827526618807,0.611385907558693,0.744669755770853,0.238087637983013,-0.36797615794757,-0.33359972299731
-0.12423712263106,-0.210282951992105,0.657827526618807,0.611385907558693,0.744669755770853,0.238087637983013,-0.36797615794757,-0.33359972299731
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
-0.127980660321211,-0.210282951992105,-0.973584739395834,-0.481697987773516,0.744669755770853,0.238087637983013,-0.36797615794757,-0.33359972299731
-0.124312966113929,1.41940992594671,0.657827526618807,0.611385907558693,0.744669755770853,1.53674748152672,-0.36797615794757,-0.33359972299731
-0.126003870707918,-0.210282951992105,0.657827526618807,-0.481697987773516,0.744669755770853,-1.06057220556069,-0.36797615794757,-0.33359972299731
-0.125342894791975,1.41940992594671,0.657827526618807,0.611385907558693,0.744669755770853,0.238087637983013,-0.36797615794757,-0.33359972299731
-0.124231066574988,-0.210282951992105,0.657827526618807,0.611385907558693,0.744669755770853,0.238087637983013,-0.36797615794757,-0.33359972299731
-0.126881352948831,-1.83997582993092,-0.973584739395834,-1.57478188310573,-0.326928185460375,-1.06057220556069,-0.36797615794757,-0.33359972299731
-0.126204069535718,1.41940992594671,0.657827526618807,0.611385907558693,0.744669755770853,0.238087637983013,-0.36797615794757,-0.33359972299731
-0.125610738503919,-0.210282951992105,-2.60499700541048,-0.481697987773516,-1.3985261266916,-1.06057220556069,-0.36797615794757,-0.33359972299731
-0.123945183486545,1.41940992594671,0.657827526618807,0.611385907558693,-0.326928185460375,0.238087637983013,-0.36797615794757,-0.33359972299731
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
