"PROFICIENCIA_LP_SAEB","TX_RESP_Q22f_num"
-2.18965564974763,NA
1.38807512249824,-0.939962486492063
0.0399212339192676,-0.939962486492063
-0.914369750985531,0.218595927091177
0.38759368821579,-0.939962486492063
1.25476677674804,0.218595927091177
1.38086902491808,-0.939962486492063
1.07146793339909,0.218595927091177
1.71731930753287,-0.939962486492063
0.68546592972467,-0.939962486492063
0.345089128362502,-0.939962486492063
0.62758543882598,-0.939962486492063
-0.788503682713963,1.37715434067442
NA,NA
0.434594503839499,-2.0985209000753
-0.135736107857764,1.37715434067442
0.439895538804613,-0.939962486492063
0.250220000729285,0.218595927091177
0.215922209829871,1.37715434067442
-0.894468470869529,0.218595927091177
1.10868600493735,0.218595927091177
-1.56176579244671,1.37715434067442
0.0742705272739609,0.218595927091177
-1.25931334718113,1.37715434067442
-0.482433631849938,-0.939962486492063
-1.02176055781411,1.37715434067442
-1.78445527796817,1.37715434067442
NA,NA
-1.63740296871706,1.37715434067442
-2.39261735849357,NA
0.117528384183216,-0.939962486492063
1.25016530156306,0.218595927091177
-0.99784432100682,-0.939962486492063
1.25558275036201,-0.939962486492063
-1.57618469206867,-0.939962486492063
1.35801390122195,1.37715434067442
-1.04872354578654,1.37715434067442
1.10696115012441,0.218595927091177
-0.220727328683433,0.218595927091177
1.00679547748372,0.218595927091177
1.04839341127512,0.218595927091177
-0.0529084980676129,0.218595927091177
-0.179579365850425,1.37715434067442
-1.47880610476236,-2.0985209000753
NA,NA
NA,NA
0.637004415076398,0.218595927091177
0.839771369370139,-0.939962486492063
NA,NA
1.12138453970401,-0.939962486492063
1.12617406487954,0.218595927091177
-0.527526032627781,1.37715434067442
-0.271328968434954,0.218595927091177
0.638911712511992,-0.939962486492063
0.926203135202368,0.218595927091177
0.25209036267624,1.37715434067442
0.264553855271244,-0.939962486492063
-0.538322877326755,1.37715434067442
-0.545405856611455,1.37715434067442
NA,NA
0.383395171491575,0.218595927091177
-0.972980032691364,-0.939962486492063
NA,NA
NA,NA
NA,NA
0.749414181884256,0.218595927091177
NA,NA
-1.35080996808,1.37715434067442
-1.02105876321343,0.218595927091177
-1.30989146036728,-0.939962486492063
0.878368426767233,-0.939962486492063
-0.443304890328712,1.37715434067442
-0.122155550371769,0.218595927091177
0.0438589674024678,0.218595927091177
-0.449134257187142,1.37715434067442
-1.85297142205491,1.37715434067442
-1.0441836297493,0.218595927091177
-0.421377664122744,1.37715434067442
-1.32900699789632,0.218595927091177
-0.337124076292676,0.218595927091177
NA,NA
1.86137748548441,0.218595927091177
0.533236800897624,NA
0.237895310806657,-2.0985209000753
0.331098907954114,-0.939962486492063
NA,NA
0.7286801263671,NA
NA,NA
NA,NA
-0.870347422917588,0.218595927091177
-0.88754109604439,-0.939962486492063
-0.84157674955621,1.37715434067442
-1.74266931450275,NA
0.237790111708653,1.37715434067442
-1.05099463137371,-0.939962486492063
0.556949323653995,-0.939962486492063
0.326475043930592,-0.939962486492063
-1.50475052248017,1.37715434067442
0.156617955395259,1.37715434067442
2.55018227301961,-2.0985209000753
0.798840549827872,0.218595927091177
0.796494475853154,0.218595927091177
0.659824838104429,-0.939962486492063
2.12795165444481,1.37715434067442
0.736923830809614,-0.939962486492063
0.407856501346271,1.37715434067442
0.537962511788332,-0.939962486492063
NA,NA
-2.12558986634395,NA
0.579433975053461,-0.939962486492063
0.788868638341596,0.218595927091177
0.294906111132103,0.218595927091177
0.641817426184202,-0.939962486492063
0.795557618764268,-0.939962486492063
0.619326070323103,-0.939962486492063
-0.775483902652284,0.218595927091177
0.535383630462507,0.218595927091177
-0.552238109347592,1.37715434067442
-0.417110863472613,-0.939962486492063
-0.575121208933626,-0.939962486492063
0.197371919366238,0.218595927091177
-0.755874754214575,-0.939962486492063
0.110660333685263,-0.939962486492063
1.42890409517332,-0.939962486492063
-0.260346328882515,-0.939962486492063
0.311007343027007,0.218595927091177
-0.802224139966056,0.218595927091177
