"PROFICIENCIA_MT_SAEB","TX_RESP_Q23g_num","TX_RESP_Q23h_num"
-0.955485399205588,-0.110342564513954,-0.213454134626877
-1.94285535560948,-0.110342564513954,1.12825756874206
0.125031186317524,-1.69191932254729,-0.213454134626877
-0.966301824678899,1.47123419351938,-2.89687754136476
-0.936660466079379,-0.110342564513954,-0.213454134626877
1.44518190792004,-0.110342564513954,-0.213454134626877
2.56353262597403,-1.69191932254729,1.12825756874206
NA,NA,NA
-1.88830683117066,-0.110342564513954,-0.213454134626877
0.154759022760359,1.47123419351938,1.12825756874206
NA,NA,NA
-0.584935702219537,-0.110342564513954,-0.213454134626877
NA,NA,NA
0.922819418670477,1.47123419351938,1.12825756874206
-1.31435259892153,1.47123419351938,-1.55516583799582
-0.900357168895695,1.47123419351938,-0.213454134626877
-0.819773234403122,-0.110342564513954,-0.213454134626877
0.289867364263896,1.47123419351938,1.12825756874206
NA,NA,NA
-0.0292039999616864,-0.110342564513954,1.12825756874206
0.361615013014518,-1.69191932254729,-2.89687754136476
0.0674493691041689,-1.69191932254729,-0.213454134626877
0.968303442085236,-0.110342564513954,-0.213454134626877
-1.02773482232801,-0.110342564513954,-0.213454134626877
-1.32743126955994,-0.110342564513954,-1.55516583799582
1.30482623797252,-0.110342564513954,1.12825756874206
0.345649022172286,-0.110342564513954,-0.213454134626877
-0.73433033559927,-0.110342564513954,-0.213454134626877
0.145633581484835,-0.110342564513954,-0.213454134626877
NA,NA,NA
NA,NA,NA
NA,NA,NA
0.558641084571019,-0.110342564513954,-0.213454134626877
NA,NA,NA
1.3768970501124,-0.110342564513954,1.12825756874206
NA,NA,NA
0.380995559944012,1.47123419351938,-0.213454134626877
1.16698791014784,-0.110342564513954,1.12825756874206
-0.946864572629857,-0.110342564513954,-0.213454134626877
0.325337202702544,-0.110342564513954,-0.213454134626877
0.685413494540411,-0.110342564513954,1.12825756874206
1.06035157435371,-1.69191932254729,-0.213454134626877
1.37559869053931,-1.69191932254729,1.12825756874206
0.68866082631717,-1.69191932254729,-1.55516583799582
0.327310266973997,1.47123419351938,-0.213454134626877
0.10816232621496,NA,-0.213454134626877
0.0217669031310674,-0.110342564513954,-0.213454134626877
-0.0295625913706263,-0.110342564513954,-0.213454134626877
-0.520808171629033,1.47123419351938,1.12825756874206
NA,NA,NA
-1.32019809536854,1.47123419351938,1.12825756874206
0.60361625815407,-0.110342564513954,1.12825756874206
0.346121049180391,-0.110342564513954,-0.213454134626877
-1.47536594899192,-0.110342564513954,-0.213454134626877
NA,NA,NA
