ID_ESCOLA,LOCALIZACAO,AREA,TIPO_ESCOLA,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO,FAIXA_MT,FAIXA_LP,GRUPO_INSE
61455951,Rural,Interior,Pública,1,276,28765.5,4.25,Q3_Médio-Alto,Q4_Alto,Baixo_INSE
61466535,Rural,Interior,Pública,1,274.15,276.15,4.82,Q3_Médio-Alto,Q3_Médio-Alto,Medio_INSE
61433082,Rural,Interior,Pública,1,271.48,7458.22,5.12,Q3_Médio-Alto,Q4_Alto,Alto_INSE
61442392,Rural,Interior,Pública,1,269.46,259.13,5.2,Q3_Médio-Alto,Q1_Baixo,Alto_INSE
61442636,Rural,Interior,Pública,1,267.37,268.26,4.95,Q2_Médio-Baixo,Q2_Médio-Baixo,Medio_INSE
61448082,Rural,Interior,Pública,1,266.14,264.17,4.77,Q2_Médio-Baixo,Q2_Médio-Baixo,Medio_INSE
61433385,Rural,Interior,Pública,1,265.35,280.5,4.93,Q2_Médio-Baixo,Q3_Médio-Alto,Medio_INSE
61459797,Rural,Interior,Pública,1,264.18,8719.78,3.88,Q2_Médio-Baixo,Q4_Alto,Baixo_INSE
61439293,Rural,Interior,Pública,1,259.38,228.62,5.26,Q2_Médio-Baixo,Q1_Baixo,Alto_INSE
61470076,Rural,Interior,Pública,1,259.2,261.66,4.75,Q2_Médio-Baixo,Q2_Médio-Baixo,Medio_INSE
61431502,Rural,Interior,Pública,1,258.07,246.35,4.88,Q2_Médio-Baixo,Q1_Baixo,Medio_INSE
61439327,Rural,Interior,Pública,1,256.39,8988.28,3.88,Q1_Baixo,Q4_Alto,Baixo_INSE
61448074,Rural,Interior,Pública,1,254.7,261.23,4.69,Q1_Baixo,Q2_Médio-Baixo,Baixo_INSE
61442531,Rural,Interior,Pública,1,254.18,259.84,4.71,Q1_Baixo,Q2_Médio-Baixo,Medio_INSE
61424990,Rural,Interior,Pública,1,249.59,252.6,4.81,Q1_Baixo,Q1_Baixo,Medio_INSE
61424846,Rural,Interior,Pública,1,244.49,270,5.14,Q1_Baixo,Q2_Médio-Baixo,Alto_INSE
61451159,Rural,Interior,Pública,1,233.24,12488.92,4.13,Q1_Baixo,Q4_Alto,Baixo_INSE
61441539,Rural,Interior,Pública,1,231.51,259.67,4.67,Q1_Baixo,Q2_Médio-Baixo,Baixo_INSE
61432493,Urbana,Interior,Pública,1,22195.53,283.44,4.4,Q4_Alto,Q3_Médio-Alto,Baixo_INSE
61421870,Urbana,Interior,Pública,1,19851.56,273.67,4.73,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61428659,Urbana,Interior,Pública,1,16537.67,261.56,4.92,Q4_Alto,Q2_Médio-Baixo,Medio_INSE
61455987,Urbana,Interior,Pública,1,14408.93,265.08,4.36,Q4_Alto,Q2_Médio-Baixo,Baixo_INSE
61428657,Urbana,Interior,Pública,1,13947.83,277.1,5.47,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61438271,Urbana,Interior,Pública,1,12559.13,334.43,5.98,Q4_Alto,Q4_Alto,Alto_INSE
61425003,Urbana,Interior,Pública,1,11570.16,292.54,5.08,Q4_Alto,Q4_Alto,Medio_INSE
61399683,Urbana,Interior,Pública,1,11554.72,261.08,5.08,Q4_Alto,Q2_Médio-Baixo,Medio_INSE
61457625,Urbana,Interior,Pública,1,10190.77,247.66,4.25,Q4_Alto,Q1_Baixo,Baixo_INSE
61428666,Urbana,Interior,Pública,1,8671.48,280.78,5.11,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61421820,Urbana,Interior,Pública,1,8222.23,267.56,4.4,Q4_Alto,Q2_Médio-Baixo,Baixo_INSE
61432522,Urbana,Interior,Pública,1,7988.57,241.15,4.47,Q4_Alto,Q1_Baixo,Baixo_INSE
61441523,Urbana,Interior,Pública,1,7954.01,273.24,5,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61433993,Urbana,Interior,Pública,1,7935.38,283.2,4.51,Q4_Alto,Q3_Médio-Alto,Baixo_INSE
61457601,Urbana,Interior,Pública,1,7930.84,248.44,4.89,Q4_Alto,Q1_Baixo,Medio_INSE
61432514,Urbana,Interior,Pública,1,7789.28,238.31,4.83,Q4_Alto,Q1_Baixo,Medio_INSE
61416679,Urbana,Interior,Pública,1,7593.74,262.42,5.12,Q4_Alto,Q2_Médio-Baixo,Alto_INSE
61470161,Urbana,Interior,Pública,1,7535.34,271.79,4.69,Q4_Alto,Q2_Médio-Baixo,Baixo_INSE
61442167,Urbana,Interior,Pública,1,7426.88,330.5,5.84,Q4_Alto,Q4_Alto,Alto_INSE
61449585,Urbana,Interior,Pública,1,7064.12,297.23,5.04,Q4_Alto,Q4_Alto,Medio_INSE
61417097,Urbana,Interior,Pública,1,6857.25,272.04,4.54,Q4_Alto,Q2_Médio-Baixo,Baixo_INSE
61470066,Urbana,Interior,Pública,1,6712.97,267.53,5.22,Q4_Alto,Q2_Médio-Baixo,Alto_INSE
61400001,Urbana,Interior,Pública,1,6682.04,252.49,4.86,Q4_Alto,Q1_Baixo,Medio_INSE
61442153,Urbana,Interior,Pública,1,6566.67,336.9,6.05,Q4_Alto,Q4_Alto,Alto_INSE
61405616,Urbana,Interior,Pública,1,6524.11,269.61,4.26,Q4_Alto,Q2_Médio-Baixo,Baixo_INSE
61470094,Urbana,Interior,Pública,1,6397.5,5414.02,5.07,Q4_Alto,Q4_Alto,Medio_INSE
61451144,Urbana,Interior,Pública,1,6351.39,7290.15,5.01,Q4_Alto,Q4_Alto,Medio_INSE
61449626,Urbana,Interior,Pública,1,6291.11,268.24,5.13,Q4_Alto,Q2_Médio-Baixo,Alto_INSE
61433395,Urbana,Interior,Pública,1,6161.1,283.48,5.2,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61449152,Urbana,Interior,Pública,1,6128.98,264.98,4.3,Q4_Alto,Q2_Médio-Baixo,Baixo_INSE
61466474,Urbana,Interior,Pública,1,5990.29,276.76,4.8,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61449171,Urbana,Interior,Pública,1,5985.82,247.78,4.09,Q4_Alto,Q1_Baixo,Baixo_INSE
61449623,Urbana,Interior,Pública,1,5930.65,272.58,4.84,Q4_Alto,Q2_Médio-Baixo,Medio_INSE
61466554,Urbana,Interior,Pública,1,5791.66,283.52,4.68,Q4_Alto,Q3_Médio-Alto,Baixo_INSE
61425629,Urbana,Interior,Pública,1,5552.56,248.74,4.67,Q4_Alto,Q1_Baixo,Baixo_INSE
61421795,Urbana,Interior,Pública,1,5512.52,244.54,4.67,Q4_Alto,Q1_Baixo,Baixo_INSE
61448064,Urbana,Interior,Pública,1,5474.38,271.88,5.05,Q4_Alto,Q2_Médio-Baixo,Medio_INSE
61412196,Urbana,Interior,Pública,1,5441.12,297.23,5.3,Q4_Alto,Q4_Alto,Alto_INSE
61399489,Urbana,Interior,Pública,1,5427.83,278.15,4.18,Q4_Alto,Q3_Médio-Alto,Baixo_INSE
61432959,Urbana,Interior,Pública,1,5123.18,290.45,4.97,Q4_Alto,Q4_Alto,Medio_INSE
61437732,Urbana,Interior,Pública,1,5118.71,255.65,4.28,Q4_Alto,Q1_Baixo,Baixo_INSE
61433069,Urbana,Interior,Pública,1,5053.88,264.74,5.09,Q4_Alto,Q2_Médio-Baixo,Medio_INSE
61399943,Urbana,Interior,Pública,1,4961.84,288.42,4.97,Q4_Alto,Q4_Alto,Medio_INSE
61425503,Urbana,Interior,Pública,1,4942.86,308.08,5.14,Q4_Alto,Q4_Alto,Alto_INSE
61399952,Urbana,Interior,Pública,1,4941.61,275.05,5,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61449101,Urbana,Interior,Pública,1,4822.04,331.17,5.65,Q4_Alto,Q4_Alto,Alto_INSE
61459306,Urbana,Interior,Pública,1,4720.82,254.22,4.94,Q4_Alto,Q1_Baixo,Medio_INSE
61416124,Urbana,Interior,Pública,1,4574.91,301.3,4.91,Q4_Alto,Q4_Alto,Medio_INSE
61428128,Urbana,Interior,Pública,1,4541.22,280.62,4.92,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61405654,Urbana,Interior,Pública,1,4463.17,265.56,4.6,Q4_Alto,Q2_Médio-Baixo,Baixo_INSE
61448086,Urbana,Interior,Pública,1,4388.7,275.58,5.07,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61412210,Urbana,Interior,Pública,1,4350.33,285.05,5.25,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61466504,Urbana,Interior,Pública,1,4285.24,256.69,5.23,Q4_Alto,Q1_Baixo,Alto_INSE
61449533,Urbana,Interior,Pública,1,4192.4,265.25,4.99,Q4_Alto,Q2_Médio-Baixo,Medio_INSE
61449193,Urbana,Interior,Pública,1,4115.36,274,4.42,Q4_Alto,Q3_Médio-Alto,Baixo_INSE
61449095,Urbana,Interior,Pública,1,4085,270.59,4.57,Q4_Alto,Q2_Médio-Baixo,Baixo_INSE
61415627,Urbana,Capital,Pública,1,3950.57,280.46,5.12,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61416619,Urbana,Interior,Pública,1,3894.32,278.43,4.52,Q4_Alto,Q3_Médio-Alto,Baixo_INSE
61437757,Urbana,Interior,Pública,1,3857.49,290.53,4.88,Q4_Alto,Q4_Alto,Medio_INSE
61425394,Urbana,Interior,Pública,1,3819.73,283.88,4.97,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61399396,Urbana,Interior,Pública,1,3818.4,274.88,5.04,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61456027,Urbana,Interior,Pública,1,3800.68,254.22,4.62,Q4_Alto,Q1_Baixo,Baixo_INSE
61454627,Urbana,Interior,Pública,1,3684.27,276,4.62,Q4_Alto,Q3_Médio-Alto,Baixo_INSE
61458810,Urbana,Interior,Pública,1,3631.84,273.46,4.54,Q4_Alto,Q3_Médio-Alto,Baixo_INSE
61407981,Urbana,Interior,Pública,1,3554.88,288.27,5.29,Q4_Alto,Q4_Alto,Alto_INSE
61433407,Urbana,Interior,Pública,1,3549.76,278.34,5.05,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61448150,Urbana,Interior,Pública,1,3433.19,284.01,5.07,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61425393,Urbana,Interior,Pública,1,3422.73,257.02,4.31,Q4_Alto,Q1_Baixo,Baixo_INSE
61405709,Urbana,Interior,Pública,1,3408.05,292.37,5.16,Q4_Alto,Q4_Alto,Alto_INSE
61459162,Urbana,Interior,Pública,1,3326.11,259,4.78,Q4_Alto,Q1_Baixo,Medio_INSE
61459210,Urbana,Interior,Pública,1,3321.68,257.05,4.71,Q4_Alto,Q1_Baixo,Medio_INSE
61466940,Urbana,Interior,Pública,1,3311.38,326.24,5.48,Q4_Alto,Q4_Alto,Alto_INSE
61470048,Urbana,Capital,Pública,1,3177.12,235.21,4.87,Q4_Alto,Q1_Baixo,Medio_INSE
61399565,Urbana,Interior,Pública,1,3126,268.38,4.93,Q4_Alto,Q2_Médio-Baixo,Medio_INSE
61441998,Urbana,Interior,Pública,1,3065.54,276.16,5.32,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61431552,Urbana,Interior,Pública,1,3025.41,272.75,5,Q4_Alto,Q2_Médio-Baixo,Medio_INSE
