ID_ESCOLA,AREA,TIPO_ESCOLA,LOCALIZACAO,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO,FAIXA_MT,FAIXA_LP,GRUPO_INSE
61415627,Capital,Pública,Urbana,1,3950.57,280.46,5.12,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61470048,Capital,Pública,Urbana,1,3177.12,235.21,4.87,Q4_Alto,Q1_Baixo,Medio_INSE
61451133,Capital,Pública,Urbana,1,2648.64,306.36,5.54,Q4_Alto,Q4_Alto,Alto_INSE
61424801,Capital,Pública,Urbana,1,2613.21,290.48,5.52,Q4_Alto,Q4_Alto,Alto_INSE
61405112,Capital,Pública,Urbana,1,2154.16,277.48,5.33,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61432900,Capital,Pública,Urbana,1,2051.17,292.49,5.43,Q4_Alto,Q4_Alto,Alto_INSE
61416086,Capital,Pública,Urbana,1,1571.93,285.75,5.65,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61432914,Capital,Pública,Urbana,1,1381.47,273.43,5.24,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61424794,Capital,Pública,Urbana,1,386.14,353.1,5.82,Q4_Alto,Q4_Alto,Alto_INSE
61442075,Capital,Pública,Urbana,1,377.07,343.52,6.24,Q4_Alto,Q4_Alto,Alto_INSE
61412878,Capital,Pública,Urbana,1,345,314.42,5.69,Q4_Alto,Q4_Alto,Alto_INSE
61449072,Capital,Pública,Urbana,1,337.51,323.26,5.88,Q4_Alto,Q4_Alto,Alto_INSE
61428711,Capital,Pública,Urbana,1,331.03,2849.45,5.93,Q4_Alto,Q4_Alto,Alto_INSE
61470537,Capital,Pública,Urbana,1,326.36,309.5,6.02,Q4_Alto,Q4_Alto,Alto_INSE
61412884,Capital,Pública,Urbana,1,314.94,315.29,5.94,Q4_Alto,Q4_Alto,Alto_INSE
61442299,Capital,Pública,Urbana,1,287.55,294.98,5.32,Q4_Alto,Q4_Alto,Alto_INSE
61399427,Capital,Pública,Urbana,1,287.46,3635.07,5.35,Q4_Alto,Q4_Alto,Alto_INSE
61417064,Capital,Pública,Urbana,1,286.3,289.75,4.93,Q4_Alto,Q4_Alto,Medio_INSE
61415618,Capital,Pública,Urbana,1,284.49,286.52,5.17,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61412109,Capital,Pública,Urbana,1,284.11,294.38,5.46,Q4_Alto,Q4_Alto,Alto_INSE
61466120,Capital,Pública,Urbana,1,282.73,272.45,5.59,Q4_Alto,Q2_Médio-Baixo,Alto_INSE
61417060,Capital,Pública,Urbana,1,281.94,281.34,5.18,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61442115,Capital,Pública,Urbana,1,280.96,288.51,5.2,Q3_Médio-Alto,Q4_Alto,Alto_INSE
61399692,Capital,Pública,Urbana,1,280.86,292.16,5.52,Q3_Médio-Alto,Q4_Alto,Alto_INSE
61432915,Capital,Pública,Urbana,1,280.44,288.75,5.67,Q3_Médio-Alto,Q4_Alto,Alto_INSE
61466101,Capital,Pública,Urbana,1,279.06,288.17,5.32,Q3_Médio-Alto,Q4_Alto,Alto_INSE
61448599,Capital,Pública,Urbana,1,278.93,288.38,5.16,Q3_Médio-Alto,Q4_Alto,Alto_INSE
61442289,Capital,Pública,Urbana,1,278.7,285.43,5.08,Q3_Médio-Alto,Q3_Médio-Alto,Medio_INSE
61449070,Capital,Pública,Urbana,1,278.62,293.26,5.4,Q3_Médio-Alto,Q4_Alto,Alto_INSE
61449071,Capital,Pública,Urbana,1,277.67,288.99,5.47,Q3_Médio-Alto,Q4_Alto,Alto_INSE
