ID_ESCOLA,AREA,TIPO_ESCOLA,LOCALIZACAO,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO,FAIXA_MT,FAIXA_LP,GRUPO_INSE
61415627,Capital,Pública,Urbana,1,3950.57,280.46,5.12,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61470048,Capital,Pública,Urbana,1,3177.12,235.21,4.87,Q4_Alto,Q1_Baixo,Medio_INSE
61451133,Capital,Pública,Urbana,1,2648.64,306.36,5.54,Q4_Alto,Q4_Alto,Alto_INSE
61424801,Capital,Pública,Urbana,1,2613.21,290.48,5.52,Q4_Alto,Q4_Alto,Alto_INSE
61405112,Capital,Pública,Urbana,1,2154.16,277.48,5.33,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61432900,Capital,Pública,Urbana,1,2051.17,292.49,5.43,Q4_Alto,Q4_Alto,Alto_INSE
61421759,Capital,Privada,Urbana,1,363.02,4995.63,6.31,Q4_Alto,Q4_Alto,Alto_INSE
61399427,Capital,Pública,Urbana,1,287.46,3635.07,5.35,Q4_Alto,Q4_Alto,Alto_INSE
61399383,Capital,Pública,Urbana,1,269.6,9253.96,4.84,Q3_Médio-Alto,Q4_Alto,Medio_INSE
61425090,Capital,Pública,Urbana,1,265.82,8826.04,5,Q2_Médio-Baixo,Q4_Alto,Medio_INSE
61470064,Capital,Pública,Urbana,1,251.11,238.7,4.87,Q1_Baixo,Q1_Baixo,Medio_INSE
61449078,Capital,Pública,Urbana,1,246.99,243.98,5.13,Q1_Baixo,Q1_Baixo,Alto_INSE
61458778,Capital,Pública,Urbana,1,243.98,252,4.63,Q1_Baixo,Q1_Baixo,Baixo_INSE
61432950,Capital,Pública,Urbana,1,243.85,240.65,4.39,Q1_Baixo,Q1_Baixo,Baixo_INSE
61451131,Capital,Pública,Urbana,1,243.49,255.9,4.59,Q1_Baixo,Q1_Baixo,Baixo_INSE
61405119,Capital,Pública,Urbana,1,242.04,252.95,5,Q1_Baixo,Q1_Baixo,Medio_INSE
61448608,Capital,Pública,Urbana,1,239.16,236.3,4.97,Q1_Baixo,Q1_Baixo,Medio_INSE
61432943,Capital,Pública,Urbana,1,239.12,232.39,5.05,Q1_Baixo,Q1_Baixo,Medio_INSE
61449076,Capital,Pública,Urbana,1,232.24,223.99,4.9,Q1_Baixo,Q1_Baixo,Medio_INSE
61437644,Capital,Pública,Urbana,1,230.79,234.96,5.11,Q1_Baixo,Q1_Baixo,Alto_INSE
61466270,Interior,Pública,Urbana,1,291.34,27507.65,4.37,Q4_Alto,Q4_Alto,Baixo_INSE
61455951,Interior,Pública,Rural,1,276,28765.5,4.25,Q3_Médio-Alto,Q4_Alto,Baixo_INSE
61432993,Interior,Pública,Urbana,1,259.22,19346.1,5.19,Q2_Médio-Baixo,Q4_Alto,Alto_INSE
61412188,Interior,Pública,Urbana,1,247.34,18049.62,4.83,Q1_Baixo,Q4_Alto,Medio_INSE
61438217,Interior,Privada,Urbana,1,240.94,195.25,5.43,Q1_Baixo,Q1_Baixo,Alto_INSE
61426084,Interior,Pública,Rural,1,226.45,218.28,4.27,Q1_Baixo,Q1_Baixo,Baixo_INSE
61438237,Interior,Pública,Rural,1,226.07,220.49,3.89,Q1_Baixo,Q1_Baixo,Baixo_INSE
61470491,Interior,Pública,Urbana,1,226.03,210.95,4.15,Q1_Baixo,Q1_Baixo,Baixo_INSE
61425004,Interior,Pública,Urbana,1,225.86,219.04,4.28,Q1_Baixo,Q1_Baixo,Baixo_INSE
61459394,Interior,Pública,Rural,1,224.71,206.69,3.99,Q1_Baixo,Q1_Baixo,Baixo_INSE
61428646,Interior,Pública,Urbana,1,221.21,222.31,4.39,Q1_Baixo,Q1_Baixo,Baixo_INSE
61412203,Interior,Pública,Urbana,1,219.5,215.95,4.45,Q1_Baixo,Q1_Baixo,Baixo_INSE
61425129,Interior,Pública,Urbana,1,219.02,214.28,4.44,Q1_Baixo,Q1_Baixo,Baixo_INSE
61400070,Interior,Pública,Urbana,1,218.83,202.72,5.04,Q1_Baixo,Q1_Baixo,Medio_INSE
61432493,Interior,Pública,Urbana,2,22195.53,283.44,4.4,Q4_Alto,Q3_Médio-Alto,Baixo_INSE
61421870,Interior,Pública,Urbana,2,19851.56,273.67,4.73,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61465816,Interior,Pública,Rural,2,18564.84,289.18,5.44,Q4_Alto,Q4_Alto,Alto_INSE
61428659,Interior,Pública,Urbana,2,16537.67,261.56,4.92,Q4_Alto,Q2_Médio-Baixo,Medio_INSE
61455987,Interior,Pública,Urbana,2,14408.93,265.08,4.36,Q4_Alto,Q2_Médio-Baixo,Baixo_INSE
61428657,Interior,Pública,Urbana,2,13947.83,277.1,5.47,Q4_Alto,Q3_Médio-Alto,Alto_INSE
