"PROFICIENCIA_MT_SAEB","TX_RESP_Q22g_num"
NA,NA
0.634219122596219,-0.970906453093881
0.443316945725035,0.770029255902044
NA,NA
NA,NA
1.15162210865676,-0.970906453093881
0.0175449691582826,0.770029255902044
0.898378338143313,0.770029255902044
1.66168865139343,-0.970906453093881
1.52363784322485,-0.970906453093881
-1.58331822924296,0.770029255902044
0.798814039852932,-0.970906453093881
0.756334340954324,0.770029255902044
1.30834531988015,0.770029255902044
-0.794758413016992,0.770029255902044
-0.178707668675061,-0.970906453093881
1.05673388211718,NA
-0.787155421404581,0.770029255902044
-0.193973125534268,-0.970906453093881
0.329257155627364,0.770029255902044
1.32466644325025,0.770029255902044
1.0268815758679,0.770029255902044
-1.55367727290909,0.770029255902044
0.715208702801227,0.770029255902044
0.640769658893973,-0.970906453093881
NA,NA
NA,NA
1.19803339481135,-0.970906453093881
-0.0146926098530082,0.770029255902044
-1.53310490574907,-0.970906453093881
-2.05224640304856,0.770029255902044
-1.72200200409159,0.770029255902044
-0.352689767574537,-0.970906453093881
1.12279996936011,-0.970906453093881
-0.656982665657155,0.770029255902044
-0.0120237637620728,0.770029255902044
0.5496048808912,-0.970906453093881
-1.51402678990148,0.770029255902044
-0.616432648679782,0.770029255902044
-1.00984914403034,0.770029255902044
-0.331588503094043,0.770029255902044
-1.20061645065972,0.770029255902044
0.139718597085748,0.770029255902044
-0.840824543079388,-0.970906453093881
0.150386570996645,-0.970906453093881
0.0699152664630264,-2.71184216208981
NA,NA
NA,NA
1.80782566970349,0.770029255902044
-0.680654008192953,0.770029255902044
0.00582134773765584,0.770029255902044
-1.60898298359447,0.770029255902044
0.470845542974419,-0.970906453093881
NA,NA
NA,NA
-0.421671088964966,-0.970906453093881
-0.575842273236139,-2.71184216208981
-0.568629052442294,0.770029255902044
-1.0862741702993,0.770029255902044
0.247302202429225,0.770029255902044
1.50144165583454,-0.970906453093881
0.339609710263255,-0.970906453093881
