"PROFICIENCIA_MT_SAEB","TX_RESP_Q10c_num","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q22a_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q19_num","TX_RESP_Q20_num"
-0.818891033723123,0.572077553547355,0.474341649025257,NA,NA,-2.00227143741574,-1.93782672439852,-1.5,NA,NA
-1.81839689227892,-0.858116330321033,-1.89736659610103,-0.18490006540841,1.50219138173817,0.858116330321033,-0.176166065854411,0,2.66666666666667,2.66666666666667
1.74887747514789,0.572077553547355,0.474341649025257,1.47920052326728,-0.214598768819738,0.858116330321033,1.5854945926897,1.5,-0.333333333333333,-0.333333333333333
0.014969795461909,0.572077553547355,0.474341649025257,-0.18490006540841,-0.214598768819738,0.858116330321033,-0.176166065854411,1.5,-0.333333333333333,-0.333333333333333
-0.575782143202604,-2.28831021418942,0.474341649025257,-0.18490006540841,-0.214598768819738,-0.572077553547355,-0.176166065854411,0,-0.333333333333333,-0.333333333333333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.539217680833776,0.572077553547355,0.474341649025257,1.47920052326728,1.50219138173817,0.858116330321033,-0.176166065854411,0,-0.333333333333333,-0.333333333333333
1.14028726251783,0.572077553547355,0.474341649025257,-0.18490006540841,-1.07299384409869,-0.572077553547355,-0.176166065854411,0,-0.333333333333333,-0.333333333333333
0.0438725654614277,-0.858116330321033,0.474341649025257,-1.8490006540841,NA,0.858116330321033,-0.176166065854411,0,-0.333333333333333,-0.333333333333333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.168800137140941,0.572077553547355,0.474341649025257,-0.18490006540841,-0.214598768819738,-0.572077553547355,1.5854945926897,0,-0.333333333333333,-0.333333333333333
-0.105354573077248,0.572077553547355,-1.89736659610103,-0.18490006540841,-1.07299384409869,-0.572077553547355,-0.176166065854411,-1.5,-0.333333333333333,-0.333333333333333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
