"PROFICIENCIA_MT_SAEB","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q22c_num","TX_RESP_Q22d_num","TX_RESP_Q23f_num"
NA,NA,NA,NA,NA,NA
-0.0937460323827746,0.105091277976944,0.699062073642556,-1.24887217024511,0,-0.161834718742538
NA,NA,NA,NA,NA,NA
0.594815951404911,0.105091277976944,0.699062073642556,-0.0892051550175081,0,-0.161834718742538
-1.58465794514494,1.36618661370027,-0.815572419249648,1.07046186021009,1.41421356237309,1.78018190616791
0.819328251601482,-1.15600405774638,0.699062073642556,1.07046186021009,0,-0.161834718742538
0.290772284105932,1.36618661370027,-0.815572419249648,-0.0892051550175081,1.41421356237309,-0.161834718742538
-0.237576684053333,0.105091277976944,-0.815572419249648,-0.0892051550175081,-1.41421356237309,-0.161834718742538
-0.190949058478428,0.105091277976944,-0.815572419249648,1.07046186021009,0,-0.161834718742538
-1.60237248540645,NA,-0.815572419249648,-1.24887217024511,-1.41421356237309,-0.161834718742538
-0.816258552680218,1.36618661370027,0.699062073642556,-1.24887217024511,0,NA
2.17421628433908,0.105091277976944,2.21369656653476,1.07046186021009,1.41421356237309,-2.10385134365299
0.138413339141177,-1.15600405774638,-0.815572419249648,1.07046186021009,-1.41421356237309,-0.161834718742538
0.544027652397462,-1.15600405774638,-0.815572419249648,-0.0892051550175081,0,-0.161834718742538
-0.0360130048439046,-1.15600405774638,0.699062073642556,-1.24887217024511,0,1.78018190616791
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
