"PROFICIENCIA_MT_SAEB","TX_RESP_Q10a_num","TX_RESP_Q10b_num","TX_RESP_Q21a_num"
1.46880435644699,0.560277539522576,-1.00098765456172,-0.528680532637681
NA,NA,NA,NA
0.763155152021969,-1.20059472754838,0.692991453158116,-1.7622684421256
-1.09277706082938,0.560277539522576,0.692991453158116,1.93849528633816
0.0406277651354217,-1.20059472754838,0.692991453158116,-0.528680532637681
1.48361762296097,0.560277539522576,0.692991453158116,0.704907376850242
-1.32870537159987,0.560277539522576,-1.00098765456172,1.93849528633816
0.784734487234879,-1.20059472754838,-1.00098765456172,-0.528680532637681
0.142806919984783,NA,NA,NA
-0.295234407106484,0.560277539522576,0.692991453158116,-0.528680532637681
NA,NA,NA,NA
-1.36926821748681,2.32114980659353,0.692991453158116,NA
-1.4103940605098,0.560277539522576,0.692991453158116,0.704907376850242
1.38019114656939,-1.20059472754838,-1.00098765456172,-0.528680532637681
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-0.727935645442265,-1.20059472754838,0.692991453158116,0.704907376850242
1.30602875947419,-1.20059472754838,-1.00098765456172,-0.528680532637681
-0.0693423013889515,0.560277539522576,0.692991453158116,-0.528680532637681
-0.0269556258575387,-1.20059472754838,-1.00098765456172,-0.528680532637681
-2.15858842289339,0.560277539522576,0.692991453158116,-0.528680532637681
0.504133795290069,0.560277539522576,0.692991453158116,-0.528680532637681
0.0712403875868699,0.560277539522576,0.692991453158116,-0.528680532637681
0.483800122907012,-1.20059472754838,-1.00098765456172,-0.528680532637681
0.112217911565772,0.560277539522576,-2.69496676228156,-0.528680532637681
-0.344896255400133,0.560277539522576,0.692991453158116,1.93849528633816
0.282738941336304,0.560277539522576,0.692991453158116,0.704907376850242
