"PROFICIENCIA_MT_SAEB","TX_RESP_Q22h_num","TX_RESP_Q23c_num","TX_RESP_Q19_num","TX_RESP_Q20_num"
1.1317047407018,1.00456623379337,1.04197614450346,-0.525172782627683,-0.223606797749979
-1.06117976678186,1.00456623379337,-0.260494036125864,1.22540315946459,-0.223606797749979
-1.47093668741606,-0.358773654926205,-0.260494036125864,2.97597910155687,-0.223606797749979
NA,NA,NA,NA,NA
1.77215577840831,1.00456623379337,1.04197614450346,-0.525172782627683,-0.223606797749979
-0.21274578736392,-1.72211354364578,-0.260494036125864,1.22540315946459,-0.223606797749979
0.590846920680427,-0.358773654926205,1.04197614450346,-0.525172782627683,-0.223606797749979
-0.571094543809278,1.00456623379337,1.04197614450346,-0.525172782627683,-0.223606797749979
-1.04703814264937,-1.72211354364578,-1.56296421675518,-0.525172782627683,-0.223606797749979
-0.843707687926364,-0.358773654926205,-0.260494036125864,-0.525172782627683,-0.223606797749979
0.469118432034706,-0.358773654926205,-2.8654343973845,1.22540315946459,-0.223606797749979
-0.509818496628099,-1.72211354364578,-0.260494036125864,-0.525172782627683,-0.223606797749979
0.461171452561589,-0.358773654926205,-0.260494036125864,-0.525172782627683,-0.223606797749979
1.89232521538287,NA,-0.260494036125864,-0.525172782627683,-0.223606797749979
0.627985061693926,1.00456623379337,1.04197614450346,-0.525172782627683,-0.223606797749979
-0.78681173518615,1.00456623379337,1.04197614450346,1.22540315946459,-0.223606797749979
0.46697052699059,1.00456623379337,1.04197614450346,-0.525172782627683,-0.223606797749979
1.02182470130742,1.00456623379337,-0.260494036125864,-0.525172782627683,-0.223606797749979
-0.612726929795432,-0.358773654926205,-0.260494036125864,-0.525172782627683,-0.223606797749979
-1.35438857685347,-0.358773654926205,-0.260494036125864,-0.525172782627683,4.2485291572496
0.0363455246483579,-0.358773654926205,-0.260494036125864,-0.525172782627683,-0.223606797749979
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
