ID_ESCOLA,TIPO_ESCOLA,GRUPO_DESEMPENHO,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO,FAIXA_MT,FAIXA_LP
61432986,Pública,Alto,1,286.87,1972.46,5.07,Q4_Alto,Q4_Alto
61466120,Pública,Medio,2,282.73,272.45,5.59,Q4_Alto,Q2_Médio-Baixo
61425355,Pública,Medio,3,268.18,280.02,4.51,Q2_Médio-Baixo,Q3_Médio-Alto
61458788,Pública,Baixo,3,251.35,252.58,5.01,Q1_Baixo,Q1_Baixo
