"PROFICIENCIA_LP_SAEB","TX_RESP_Q22a_num"
-0.220653996233985,1.21354799854389
-0.220970308941967,-0.0638709472917833
-0.221684013785255,-1.34128989312745
4.95777938091717,-0.0638709472917833
NA,NA
-0.220553116179764,-0.0638709472917833
-0.220164007131315,-0.0638709472917833
-0.220030361631547,-0.0638709472917833
NA,NA
NA,NA
-0.220926556015334,NA
-0.222169931339056,-0.0638709472917833
-0.222477613388295,1.21354799854389
NA,NA
-0.22074713871729,-0.0638709472917833
-0.220534462576891,-1.34128989312745
NA,NA
-0.220850423839979,-0.0638709472917833
NA,NA
-0.221262204939637,-0.0638709472917833
NA,NA
NA,NA
-0.221679559895045,-0.0638709472917833
-0.221494725133705,-0.0638709472917833
-0.222590549716352,1.21354799854389
-0.221371999521377,-1.34128989312745
-0.222305925932674,1.21354799854389
-0.222391591510835,1.21354799854389
3.67549796469542,-0.0638709472917833
-0.221709937656853,-0.0638709472917833
-0.220535900216789,-0.0638709472917833
-0.222687252984516,1.21354799854389
-0.221112420979534,-0.0638709472917833
-0.221136767204588,1.21354799854389
NA,NA
-0.22268703092616,1.21354799854389
-0.221019626085639,1.21354799854389
-0.222104219888633,-1.34128989312745
-0.220587565472915,-1.34128989312745
-0.219961798069282,-1.34128989312745
-0.221670332547572,-0.0638709472917833
NA,NA
-0.222513914523005,-0.0638709472917833
-0.221934737664732,1.21354799854389
NA,NA
-0.221486671833696,-2.61870883896313
-0.220794298910417,1.21354799854389
-0.221754631952488,-1.34128989312745
-0.220239287735396,-0.0638709472917833
-0.220826946570927,-0.0638709472917833
-0.22188975853645,-1.34128989312745
-0.221765759422695,1.21354799854389
