"PROFICIENCIA_MT_SAEB","TX_RESP_Q10e_num","TX_RESP_Q23f_num","TX_RESP_Q20_num"
0.87131085704374,0.456658061755022,0.547865249329263,-0.343592135468138
0.0381745579200163,0.456658061755022,1.84904521648626,-0.343592135468138
1.05758907741466,0.456658061755022,0.547865249329263,-0.343592135468138
1.64499915648109,0.456658061755022,1.84904521648626,-0.343592135468138
1.1325191682909,0.456658061755022,0.547865249329263,-0.343592135468138
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
0.329006202037731,0.456658061755022,-0.753314717827737,-0.343592135468138
0.901299274296633,0.456658061755022,0.547865249329263,-0.343592135468138
NA,NA,NA,NA
-0.583818148783586,-2.58772901661179,0.547865249329263,2.74873708374511
0.0603613360575712,0.456658061755022,0.547865249329263,-0.343592135468138
NA,NA,NA,NA
1.09807407344479,0.456658061755022,NA,-0.343592135468138
NA,NA,NA,NA
NA,NA,NA,NA
-1.45788315196433,-1.06553547742839,-0.753314717827737,-0.343592135468138
NA,NA,NA,NA
NA,NA,NA,NA
-0.381388159451433,0.456658061755022,-0.753314717827737,-0.343592135468138
0.688253159580146,0.456658061755022,-0.753314717827737,-0.343592135468138
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-0.586906060200998,0.456658061755022,0.547865249329263,NA
0.172064736625754,0.456658061755022,-0.753314717827737,-0.343592135468138
-0.746219914995327,0.456658061755022,-0.753314717827737,-0.343592135468138
0.265103165191855,-2.58772901661179,-2.05449468498474,-0.343592135468138
-1.34750592488224,0.456658061755022,-0.753314717827737,-0.343592135468138
-1.82525922020278,0.456658061755022,-0.753314717827737,NA
-1.32977418390418,-1.06553547742839,0.547865249329263,2.74873708374511
