"PROFICIENCIA_MT_SAEB","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q22b_num"
0.167087650792121,-1.53163911132712,0,-0.550725115674145,1.31414456777677
NA,NA,NA,NA,NA
0.0561307523869207,-1.53163911132712,1.5,-0.550725115674145,-0.971324245748044
-0.934069549278111,-0.139239919211557,0,-0.550725115674145,-0.971324245748044
0.238918408458604,-1.53163911132712,0,-0.550725115674145,-2.11405865251045
0.406395648941443,-0.139239919211557,0,-0.550725115674145,1.31414456777677
-0.41721441958767,-0.139239919211557,0,-0.550725115674145,-0.971324245748044
-1.01615600219533,-0.139239919211557,-1.5,-0.550725115674145,0.171410161014361
1.56279734277511,1.25315927290401,0,0.450593276460664,1.31414456777677
-1.64200941695004,-0.139239919211557,0,0.450593276460664,-0.971324245748044
0.706240118089141,1.25315927290401,1.5,-0.550725115674145,1.31414456777677
-0.685274246567482,-0.139239919211557,0,-0.550725115674145,-0.971324245748044
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
2.16309518777292,1.25315927290401,0,1.45191166859547,0.171410161014361
-0.103175946342006,1.25315927290401,NA,0.450593276460664,0.171410161014361
1.80810904168618,1.25315927290401,1.5,2.45323006073028,0.171410161014361
-0.607460893886456,-1.53163911132712,-1.5,-0.550725115674145,0.171410161014361
-0.450736241614604,-0.139239919211557,1.5,-0.550725115674145,1.31414456777677
-1.06070193374426,-0.139239919211557,-1.5,-0.550725115674145,0.171410161014361
-0.696282556256376,-0.139239919211557,-1.5,-0.550725115674145,-0.971324245748044
0.634607046991202,1.25315927290401,0,-0.550725115674145,0.171410161014361
-0.130299991471326,-0.139239919211557,0,2.45323006073028,0.171410161014361
