Termo,Item,Categoria,Coef,SE,t_value,p_valor,Sig,IC_95_inf,IC_95_sup
(Intercept),NA,NA,249.46249784382323,16.55667167803577,15.067188786183545,7.186268547244801e-49,***,217.0114213548731,281.91357433277335
TX_RESP_Q21a_D,TX_RESP_Q21a,D,42.213864828203945,5.316077902774374,7.940791237497332,3.1925013308725057e-15,***,31.794352138766172,52.63337751764172
TX_RESP_Q21a_C,TX_RESP_Q21a,C,25.210441472999925,3.5524232976985544,7.096688474409164,1.7229281801007498e-12,***,18.24769180951076,32.173191136489095
TX_RESP_Q23d_C,TX_RESP_Q23d,C,-29.421417711212488,4.439364714211189,-6.627393693748419,4.2959654826116645e-11,***,-38.12257255106642,-20.720262871358557
TX_RESP_Q25_B,TX_RESP_Q25,B,-22.232220472010845,3.657447871521434,-6.078615814355444,1.4278899551105362e-9,***,-29.400818300192853,-15.063622643828834
TX_RESP_Q19_B,TX_RESP_Q19,B,-24.00430546242724,4.190809859725134,-5.7278440840553015,1.1584315480126621e-8,***,-32.2182927874885,-15.790318137365977
TX_RESP_Q24_B,TX_RESP_Q24,B,-34.74247526164579,6.753861028167463,-5.144090930617287,2.92935854127368e-7,***,-47.980042876854014,-21.50490764643756
TX_RESP_Q23d_D,TX_RESP_Q23d,D,-37.15337476365371,7.243441680404544,-5.129243307661822,3.167064360236347e-7,***,-51.35052045724662,-22.9562290700608
TX_RESP_Q04_C,TX_RESP_Q04,C,-10.728496661245297,2.3104838158780177,-4.643398316628463,3.6319509278888845e-6,***,-15.25704494036621,-6.199948382124382
TX_RESP_Q23d_B,TX_RESP_Q23d,B,-15.816795084431455,3.8444877004566,-4.114148962566048,4.031010326797032e-5,***,-23.35199097732639,-8.281599191536518
TX_RESP_Q23g_C,TX_RESP_Q23g,C,17.848176443950415,4.51906694863466,3.9495268927898626,8.080169774520427e-5,***,8.990805224626481,26.70554766327435
TX_RESP_Q10d_C,TX_RESP_Q10d,C,-20.14052422232535,5.155087741955416,-3.9069217112269157,9.633781400029455e-5,***,-30.244496196557968,-10.036552248092734
TX_RESP_Q23b_C,TX_RESP_Q23b,C,21.597793173529467,5.831381368464263,3.703718177365135,2.177633232398149e-4,***,10.168285691339513,33.02730065571942
TX_RESP_Q23b_D,TX_RESP_Q23b,D,33.45265042951361,9.258319553013434,3.613252949194793,3.0924990197714276e-4,***,15.30634410560728,51.59895675341994
TX_RESP_Q09_E,TX_RESP_Q09,E,25.708341322916613,7.132799053052798,3.604243037228644,3.2011046168430377e-4,***,11.728055178933129,39.6886274669001
TX_RESP_Q21a_B,TX_RESP_Q21a,B,12.91464781618635,3.5961525210490595,3.5912402882230716,3.3641522624199195e-4,***,5.8661888749301925,19.963106757442507
TX_RESP_Q06_E,TX_RESP_Q06,E,-23.679662961996932,6.898043786439882,-3.4328084446993827,6.085573974832794e-4,***,-37.1998287834191,-10.159497140574764
TX_RESP_Q16_C,TX_RESP_Q16,C,12.005258832647451,3.5768346664439807,3.356391880584977,8.032676814000474e-4,***,4.994662886417249,19.015854778877653
TX_RESP_Q05c_B,TX_RESP_Q05c,B,-21.55127085843591,6.668075028399822,-3.232007853338102,0.0012476334073822466,**,-34.62069791409956,-8.481843802772259
TX_RESP_Q21d_C,TX_RESP_Q21d,C,-18.68213656026957,5.803181848553184,-3.219291941528128,0.0013040288807099256,**,-30.05637298343381,-7.30790013710533
TX_RESP_Q21d_D,TX_RESP_Q21d,D,-6.857338215884542,2.196410187534996,-3.122066294720863,0.0018195109589794788,**,-11.162302183453134,-2.5523742483159495
TX_RESP_Q22a_B,TX_RESP_Q22a,B,9.603640801056399,3.1353206286242394,3.0630490270688586,0.002217831182966278,**,3.4584123689528896,15.748869233159908
TX_RESP_Q12b_C,TX_RESP_Q12b,C,15.274661981659575,5.011313011337189,3.0480359033856828,0.0023311880742563113,**,5.452488479438685,25.096835483880465
TX_RESP_Q04_B,TX_RESP_Q04,B,-9.062603259271034,3.1540737380969808,-2.8733010106285533,0.0041015263349126726,**,-15.244587785941118,-2.8806187326009516
TX_RESP_Q08_C,TX_RESP_Q08,C,16.544489227806036,5.822854446995762,2.8413022132713595,0.0045348745287068434,**,5.131694511694343,27.95728394391773
TX_RESP_Q21e_B,TX_RESP_Q21e,B,-9.825443249372992,3.676265125887049,-2.672669928016196,0.007581305004189823,**,-17.03092289611161,-2.6199636026343756
TX_RESP_Q13h_B,TX_RESP_Q13h,B,7.37522784622592,2.790478990728177,2.6429970878588662,0.008276623905048174,**,1.905889024398693,12.844566668053147
TX_RESP_Q15b_B,TX_RESP_Q15b,B,-6.489968657059393,2.4560827635221996,-2.642406336402243,0.008291028535556801,**,-11.303890873562903,-1.676046440555882
TX_RESP_Q12b_B,TX_RESP_Q12b,B,8.137942171399708,3.111133875228235,2.615747986994839,0.00896487407386064,**,2.040119775952367,14.235764566847049
TX_RESP_Q10d_B,TX_RESP_Q10d,B,-13.737259935624042,5.285295977284649,-2.5991467639020733,0.009408839731778982,**,-24.096440051101954,-3.37807982014613
TX_RESP_Q24_D,TX_RESP_Q24,D,-18.02008068094477,6.935272355221325,-2.5983234338847674,0.009431360215628347,**,-31.613214497178568,-4.426946864710972
TX_RESP_Q12g_B,TX_RESP_Q12g,B,-12.637270124849975,4.933836870923742,-2.561347376384568,0.01049369366822073,*,-22.307590391860508,-2.96694985783944
TX_RESP_Q22c_D,TX_RESP_Q22c,D,17.769290639908952,6.969153311304094,2.549705803011513,0.010849541283945158,*,4.109750149752928,31.428831130064978
TX_RESP_Q23e_D,TX_RESP_Q23e,D,16.281157795955224,6.452321282991909,2.5233024026363626,0.011696666489747294,*,3.6346080812910824,28.927707510619364
TX_RESP_Q13e_B,TX_RESP_Q13e,B,-6.624020354989764,2.714956869673285,-2.4398252616760323,0.014773861630718003,*,-11.945335819549403,-1.3027048904301255
TX_RESP_Q16_D,TX_RESP_Q16,D,7.39546328965865,3.053865187060341,2.4216731376991607,0.01553065131938953,*,1.409887523020382,13.381039056296919
TX_RESP_Q12e_D,TX_RESP_Q12e,D,13.532593643009804,5.714819173123954,2.3679828237876395,0.01797249393523269,*,2.3315480636868546,24.733639222332755
TX_RESP_Q23g_D,TX_RESP_Q23g,D,13.468666721883913,5.743149451186143,2.3451708572727816,0.019107930213365886,*,2.2120937975590724,24.725239646208756
TX_RESP_Q13a_B,TX_RESP_Q13a,B,-6.775253296751611,2.910906880763546,-2.327540376342931,0.020027978053746703,*,-12.480630783048161,-1.069875810455061
TX_RESP_Q24_C,TX_RESP_Q24,C,-13.171787376575633,5.86490573573561,-2.2458651460190184,0.02481280750882176,*,-24.667002618617428,-1.6765721345338385
TX_RESP_Q10a_C,TX_RESP_Q10a,C,-9.435418095238893,4.206554802705772,-2.2430274982201044,0.02499550177529253,*,-17.680265508542206,-1.190570681935581
TX_RESP_Q21d_B,TX_RESP_Q21d,B,-13.293684018770813,5.995855618228082,-2.2171454526617524,0.026716336964910187,*,-25.04556103049785,-1.541807007043774
TX_RESP_Q22f_C,TX_RESP_Q22f,C,9.550542017974479,4.37024725790534,2.1853550736056193,0.028969311992173626,*,0.9848573924800128,18.116226643468945
TX_RESP_Q23h_C,TX_RESP_Q23h,C,-14.009818328301114,6.743394757372435,-2.077561648453759,0.03786698492716434,*,-27.226872052751087,-0.7927646038511398
TX_RESP_Q23h_B,TX_RESP_Q23h,B,-8.148092880463594,3.9369467715171504,-2.0696477126419532,0.03860333147772664,*,-15.864508552637208,-0.4316772082899787
TX_RESP_Q22a_D,TX_RESP_Q22a,D,-15.398913953721209,7.450482034155095,-2.066834586423842,0.03886799391475391,*,-30.001858740665195,-0.7959691667772226
TX_RESP_Q22f_B,TX_RESP_Q22f,B,8.978495531582766,4.346046263406435,2.065899667746614,0.03895629306205014,*,0.4602448553061542,17.496746207859378
TX_RESP_Q18_B,TX_RESP_Q18,B,-15.675483688759986,7.665177107168702,-2.045025636015612,0.040972614429741226,*,-30.69923081881064,-0.6517365587093291
TX_RESP_Q20_B,TX_RESP_Q20,B,13.299306869179171,6.741700935398935,1.9726930928288344,0.04865718006093306,*,0.08557303579725861,26.513040702561085
TX_RESP_Q23a_B,TX_RESP_Q23a,B,7.270424580198449,3.8635083021458496,1.881819323685767,0.05999416365287125,,-0.30205169200741633,14.842900852404313
