"PROFICIENCIA_LP_SAEB","TX_RESP_Q10a_num","TX_RESP_Q10c_num","TX_RESP_Q10e_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q21d_num","TX_RESP_Q21e_num","TX_RESP_Q23c_num","TX_RESP_Q23h_num","TX_RESP_Q19_num"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.427530249100322,0,0.433012701892219,0.25,1.24025326257979,0.976348453432999,0.652791209833867,-1.91292294501069,0.33383047504632,-0.179398740368981,-0.519034249085875
1.99240600538462,1.36930639376292,0.433012701892219,0.25,-0.286212291364566,-1.15386635405718,-1.43614066163451,0.869510429550315,0.33383047504632,-0.179398740368981,-0.519034249085875
-0.946639892808857,-1.36930639376292,0.433012701892219,0.25,-0.286212291364566,-1.15386635405718,0.652791209833867,-0.521706257730189,NA,NA,1.14187534798892
0.304351852701372,1.36930639376292,-1.29903810567666,0.25,-0.286212291364566,0.976348453432999,0.652791209833867,-0.521706257730189,0.33383047504632,-0.179398740368981,-0.519034249085875
-1.12876860621879,-1.36930639376292,-3.03108891324554,-3.75,-0.286212291364566,-1.15386635405718,0.652791209833867,0.869510429550315,-0.91803380637738,-0.179398740368981,1.14187534798892
-0.864603975787694,0,0.433012701892219,0.25,-0.286212291364566,0.266276850936272,0.652791209833867,-1.91292294501069,0.33383047504632,1.16609181239838,2.80278494506372
0.212814026106795,0,0.433012701892219,0.25,1.24025326257979,0.976348453432999,-1.43614066163451,-0.521706257730189,0.33383047504632,-0.179398740368981,-0.519034249085875
1.72850407710021,0,0.433012701892219,0.25,-0.286212291364566,0.976348453432999,-1.43614066163451,0.869510429550315,0.33383047504632,-0.179398740368981,-0.519034249085875
0.264501101908738,-1.36930639376292,0.433012701892219,0.25,1.24025326257979,0.976348453432999,0.652791209833867,0.869510429550315,0.33383047504632,-0.179398740368981,1.14187534798892
-1.94437554253238,0,-1.29903810567666,0.25,-1.81267784530892,-1.15386635405718,0.652791209833867,-0.521706257730189,-2.16989808780108,1.16609181239838,-0.519034249085875
-0.423920863921426,0,0.433012701892219,0.25,-0.286212291364566,-1.15386635405718,0.652791209833867,0.869510429550315,0.33383047504632,-0.179398740368981,-0.519034249085875
0.628190677808699,0,0.433012701892219,0.25,1.24025326257979,-0.443794751560454,0.652791209833867,0.869510429550315,0.33383047504632,-0.179398740368981,-0.519034249085875
0.454714096979937,0,0.433012701892219,0.25,-0.286212291364566,0.976348453432999,0.652791209833867,0.869510429550315,0.33383047504632,-0.179398740368981,-0.519034249085875
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.3011050645386,1.36930639376292,0.433012701892219,0.25,1.24025326257979,0.266276850936272,0.652791209833867,-0.521706257730189,0.33383047504632,1.16609181239838,-0.519034249085875
-0.188762703250509,1.36930639376292,0.433012701892219,0.25,-1.81267784530892,0.976348453432999,-1.43614066163451,-0.521706257730189,1.58569475647002,1.16609181239838,-0.519034249085875
-0.214835438032418,-1.36930639376292,0.433012701892219,0.25,-0.286212291364566,-1.15386635405718,-1.43614066163451,0.869510429550315,-2.16989808780108,-2.87037984590369,-0.519034249085875
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
