"PROFICIENCIA_MT_SAEB","TX_RESP_Q10a_num","TX_RESP_Q10c_num","TX_RESP_Q10d_num","TX_RESP_Q21c_num","TX_RESP_Q21d_num","TX_RESP_Q22a_num","TX_RESP_Q22e_num","TX_RESP_Q22f_num","TX_RESP_Q22g_num","TX_RESP_Q22h_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23c_num","TX_RESP_Q23d_num","TX_RESP_Q23e_num","TX_RESP_Q23f_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num","TX_RESP_Q23i_num"
NA,1.22474487139159,0.377964473009227,0.58554004376912,-1.79284291400159,-0.885614885540095,1.0690449676497,-0.117579270250443,0.544704779401922,0.377964473009227,0.544704779401922,0,0,-0.912870929175277,0,0.221403721385024,0,0,-1.0690449676497,-0.377964473009227
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.143749050227136,1.22474487139159,-2.26778683805536,0.58554004376912,0.597614304667197,1.10701860692512,-0.801783725737273,0.705475621502659,0.544704779401922,-2.26778683805536,0.544704779401922,0,0,0.912870929175277,0,0.221403721385024,0,0,0.801783725737273,0.944911182523068
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.424051144584659,-1.22474487139159,0.377964473009227,-1.4638501094228,-0.597614304667197,1.10701860692512,1.0690449676497,0.705475621502659,0.544704779401922,0.377964473009227,0.544704779401922,-1.73205080756888,-1.73205080756888,0.912870929175277,0,-1.10701860692512,0,0,0.801783725737273,0.944911182523068
-0.477770910219147,-1.22474487139159,0.377964473009227,0.58554004376912,NA,NA,1.0690449676497,0.705475621502659,0.544704779401922,0.377964473009227,0.544704779401922,0,0,NA,-1.73205080756888,NA,0,-1.73205080756888,0.801783725737273,-1.70084012854152
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.557753740679455,0,0.377964473009227,-1.4638501094228,0.597614304667197,0.442807442770048,-0.801783725737273,-1.76368905375665,-1.99725085780705,0.377964473009227,-0.726273039202563,0,0,-0.912870929175277,0,0.221403721385024,0,0,-1.0690449676497,-0.377964473009227
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.417935313901792,0,0.377964473009227,0.58554004376912,0.597614304667197,-0.885614885540095,-0.801783725737273,-0.940634162003545,-0.726273039202563,0.377964473009227,-1.99725085780705,0,0,-0.912870929175277,0,-1.10701860692512,-1.73205080756888,0,-1.0690449676497,-0.377964473009227
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.02126015961219,0,0.377964473009227,0.58554004376912,0.597614304667197,-0.885614885540095,-0.801783725737273,0.705475621502659,0.544704779401922,0.377964473009227,0.544704779401922,1.73205080756888,1.73205080756888,0.912870929175277,1.73205080756888,1.54982604969517,1.73205080756888,1.73205080756888,0.801783725737273,0.944911182523068
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
